Main.Studies.InverseDynamicStudy.t,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.KneeFlexion,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.QcepsForce,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.ContactForceX,Main.Studies.InverseDynamicStudy.KneeTesterOutput.OutputFile.ContactForceY
1.000467948717945e+001,8.938153506429660e+001,2.291885481839989e+003,2.040292175711396e+003,-1.448624319741759e+002
1.003802564102560e+001,9.068384368784108e+001,2.340701076491675e+003,2.067877909878512e+003,-1.954412309877480e+002
1.007137179487176e+001,9.176673475367016e+001,2.239446436712157e+003,1.966533883116137e+003,-2.250260904620970e+002
1.010471794871791e+001,9.232297995968102e+001,1.946471697560171e+003,1.712067793259181e+003,-2.137660724911141e+002
1.013806410256406e+001,9.214464702935973e+001,1.539806344211241e+003,1.366719993884277e+003,-1.644540661202836e+002
1.017141025641022e+001,9.155883264044132e+001,1.182299351189618e+003,1.061513828957778e+003,-9.607268141491261e+001
1.020475641025637e+001,9.137490449081503e+001,9.698104082166318e+002,8.745227786446983e+002,-8.201099186947820e+001
1.023810256410252e+001,9.164462176998421e+001,9.036950671883033e+002,8.104248922971412e+002,-7.725506792381643e+001
1.027144871794868e+001,9.206480427147974e+001,8.302762892017360e+002,7.449656799600596e+002,-7.474210332000263e+001
1.030479487179483e+001,9.229925226215102e+001,7.786058495023035e+002,6.985378061289487e+002,-7.107361159184319e+001
1.033814102564098e+001,9.239811420780112e+001,7.177751568341284e+002,6.458131206093451e+002,-6.665900256527064e+001
1.037148717948714e+001,9.239883842487957e+001,6.597515894027353e+002,5.958680771189864e+002,-5.897231721676398e+001
1.040483333333329e+001,9.229526190426851e+001,6.101818007147870e+002,5.540220100353616e+002,-5.104557835726985e+001
1.043817948717944e+001,9.215873384822994e+001,5.623156174965070e+002,5.153143957188324e+002,-4.407722442883978e+001
1.047152564102560e+001,9.201902042285455e+001,5.267171479419399e+002,4.882198408838257e+002,-3.816984839125202e+001
1.050487179487175e+001,9.184766086421499e+001,4.802349110180296e+002,4.553900188208988e+002,-2.498074791031789e+001
1.053821794871790e+001,9.166842244443627e+001,4.803847529754488e+002,4.577520265381100e+002,-1.453441183274326e+001
1.057156410256406e+001,9.156343405075774e+001,5.097812537500318e+002,4.839717551477526e+002,-1.399543350935612e+001
1.060491025641021e+001,9.153146833495943e+001,5.244267008153415e+002,4.970941355050468e+002,-1.812216692401572e+001
1.063825641025636e+001,9.151089738316234e+001,5.449809405232568e+002,5.132349787409775e+002,-1.542725289139874e+001
1.067160256410252e+001,9.148373727579291e+001,5.158442467274194e+002,4.885710608854040e+002,-2.032982997133596e+001
1.070494871794867e+001,9.147763271473494e+001,4.810985142938694e+002,4.583712121279149e+002,-3.369885939822276e+001
1.073829487179483e+001,9.143629439342787e+001,4.736633259269538e+002,4.513495759964508e+002,-2.739316104172320e+001
1.077164102564098e+001,9.135763857344901e+001,4.556283307920697e+002,4.358300680596356e+002,-2.156533204109853e+001
1.080498717948713e+001,9.127344003905225e+001,4.382937140261258e+002,4.206246516246034e+002,-1.941191386189787e+001
1.083833333333329e+001,9.117676554105209e+001,4.094967124636862e+002,3.966483005233928e+002,-1.568098452311811e+001
