Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.HipFlexion[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.HipAbduction[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.HipExternalRotation[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.KneeFlexion[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.KneeFlexion[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.KneeFlexion[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.AnklePlantarFlexion[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLegCustom.SubTalarEversion[0]
  3.833333333333334e-01, -1.626913242981557e-02,  9.284772053534796e-02,  1.251257325014908e-01,  8.695003458685788e-02,  2.987598211831455e-02, -1.753388427757085e-01, -6.454465243354861e-02,  1.614570890639853e-01
  3.916666666666667e-01, -1.634037825814851e-02,  9.284387311482201e-02,  1.251304248826302e-01,  8.689954723882257e-02,  2.983742194248329e-02, -1.753037893683494e-01, -6.448732398930812e-02,  1.614502399749513e-01
  4.000000000000000e-01, -1.640535588662950e-02,  9.284661090970481e-02,  1.251312978563827e-01,  8.684668471158630e-02,  2.979201922253316e-02, -1.752670452282353e-01, -6.442545642596666e-02,  1.614430980646243e-01
  4.083333333333333e-01, -1.646367055113770e-02,  9.285626820025139e-02,  1.251297949364567e-01,  8.679258092324918e-02,  2.974165430839570e-02, -1.752293342488228e-01, -6.436102020587726e-02,  1.614343083556966e-01
  4.166666666666667e-01, -1.651500808719879e-02,  9.287295712091681e-02,  1.251266824348509e-01,  8.673858983959803e-02,  2.968870086828024e-02, -1.751914662952803e-01, -6.429644541632459e-02,  1.614227223224236e-01
  4.250000000000000e-01, -1.655911346177893e-02,  9.289659740678058e-02,  1.251220385453140e-01,  8.668624095185037e-02,  2.963577141679541e-02, -1.751542776740083e-01, -6.423438362100105e-02,  1.614071280610922e-01
  4.333333333333333e-01, -1.659584173127865e-02,  9.292699119678605e-02,  1.251155809164516e-01,  8.663709546554256e-02,  2.958519979804364e-02, -1.751186268507690e-01, -6.417742839221154e-02,  1.613864410058711e-01
  4.416666666666667e-01, -1.662525293321693e-02,  9.296377394144750e-02,  1.251068795549601e-01,  8.659255034864964e-02,  2.953839083654297e-02, -1.750853524898734e-01, -6.412779090214961e-02,  1.613603451698759e-01
  4.500000000000001e-01, -1.664775398543165e-02,  9.300634208966518e-02,  1.250953267313170e-01,  8.655365926776457e-02,  2.949558407646280e-02, -1.750551749048895e-01, -6.408699668540406e-02,  1.613294197771225e-01
  4.583333333333334e-01, -1.666410009536579e-02,  9.305387553141231e-02,  1.250801167680939e-01,  8.652104325327839e-02,  2.945613273188874e-02, -1.750286008444438e-01, -6.405578451680474e-02,  1.612945580435518e-01
  4.666666666666667e-01, -1.667520679546459e-02,  9.310540167462000e-02,  1.250603192238064e-01,  8.649487424090475e-02,  2.941874764726848e-02, -1.750059024258611e-01, -6.403411474520816e-02,  1.612566430360167e-01
  4.750000000000000e-01, -1.668201481763564e-02,  9.315979298033672e-02,  1.250350323069701e-01,  8.647492915508996e-02,  2.938163073510780e-02, -1.749871312606390e-01, -6.402120147385713e-02,  1.612165528156386e-01
  4.833333333333334e-01, -1.668552020072971e-02,  9.321568749452824e-02,  1.250036331596291e-01,  8.646072153720320e-02,  2.934278041921656e-02, -1.749720943277827e-01, -6.401570959189730e-02,  1.611748755990141e-01
  4.916666666666667e-01, -1.668685641937751e-02,  9.327144952973265e-02,  1.249659564393048e-01,  8.645162046897978e-02,  2.930031382347109e-02, -1.749603448631546e-01, -6.401604299887134e-02,  1.611315505035087e-01
  5.000000000000000e-01, -1.668736197456626e-02,  9.332523201571097e-02,  1.249222729312829e-01,  8.644690173368805e-02,  2.925263948668766e-02, -1.749512254770853e-01, -6.402050521505241e-02,  1.610857409738790e-01
  5.083333333333333e-01, -1.668860590395816e-02,  9.337509140306666e-02,  1.248731936529153e-01,  8.644578748897358e-02,  2.919855397695548e-02, -1.749439197452761e-01, -6.402734081286954e-02,  1.610358692576331e-01
  5.166666666666667e-01, -1.669234361423806e-02,  9.341913409668745e-02,  1.248195488819498e-01,  8.644749827802455e-02,  2.913723157892867e-02, -1.749375430996006e-01, -6.403487027385338e-02,  1.609800422205542e-01
  5.250000000000000e-01, -1.670047417050727e-02,  9.345564238420212e-02,  1.247622126338099e-01,  8.645126974344979e-02,  2.906811095318740e-02, -1.749312828049444e-01, -6.404174464190192e-02,  1.609167311415244e-01
  5.333333333333334e-01, -1.671599865159169e-02,  9.348280211217230e-02,  1.247024721213134e-01,  8.645668715390988e-02,  2.899081939569226e-02, -1.749238444925563e-01, -6.404704749769223e-02,  1.608428632848781e-01
  5.416666666666667e-01, -1.673956997581091e-02,  9.350004014383329e-02,  1.246403364971478e-01,  8.646217897100750e-02,  2.890506346297528e-02, -1.749160930305209e-01, -6.405019182113819e-02,  1.607617732402788e-01
  5.500000000000000e-01, -1.677387488987867e-02,  9.350635342667180e-02,  1.245766966046059e-01,  8.646723592169146e-02,  2.881095343533646e-02, -1.749075000571705e-01, -6.405086779599556e-02,  1.606715170741728e-01
  5.583333333333333e-01, -1.682047344975128e-02,  9.350142940605921e-02,  1.245116962257478e-01,  8.647105761666929e-02,  2.870932609314547e-02, -1.748983316934861e-01, -6.404890332215972e-02,  1.605717192397782e-01
  5.666666666666667e-01, -1.688021182943067e-02,  9.348530540731037e-02,  1.244448772844030e-01,  8.647296642480806e-02,  2.860195920438646e-02, -1.748890231686067e-01, -6.404430537149580e-02,  1.604618896228860e-01
  5.750000000000000e-01, -1.695293916117504e-02,  9.345826714249794e-02,  1.243752375882956e-01,  8.647254529658349e-02,  2.849132141386268e-02, -1.748800459291064e-01, -6.403743173869279e-02,  1.603420338602582e-01
  5.833333333333334e-01, -1.703734267167235e-02,  9.342073401242224e-02,  1.243013808287267e-01,  8.646969749991834e-02,  2.838015715663444e-02, -1.748717631987103e-01, -6.402901944536868e-02,  1.602132606318592e-01
  5.916666666666667e-01, -1.713117336773221e-02,  9.337317433888392e-02,  1.242217064352966e-01,  8.646453397858683e-02,  2.827124258515279e-02, -1.748643101750879e-01, -6.401986907368136e-02,  1.600776287269146e-01
  6.000000000000001e-01, -1.723163637413918e-02,  9.331611697535958e-02,  1.241345936402518e-01,  8.645719804492463e-02,  2.816713860731812e-02, -1.748575656334310e-01, -6.401050834660216e-02,  1.599378249655732e-01
  6.083333333333334e-01, -1.733567014063216e-02,  9.325020496817116e-02,  1.240385853252549e-01,  8.644773210877144e-02,  2.806976632996938e-02, -1.748511798813689e-01, -6.400116963410232e-02,  1.597971110163946e-01
  6.166666666666667e-01, -1.744013019788250e-02,  9.317620757932898e-02,  1.239326077795071e-01,  8.643602441209050e-02,  2.798005354470590e-02, -1.748445722884402e-01, -6.399198796327592e-02,  1.596591353843350e-01
  6.250000000000000e-01, -1.754199233305793e-02,  9.309498729864507e-02,  1.238162038623364e-01,  8.642181782040384e-02,  2.789783227580056e-02, -1.748368624357629e-01, -6.398313136211316e-02,  1.595274186089113e-01
  6.333333333333334e-01, -1.763862828415359e-02,  9.300743608036610e-02,  1.236897507252768e-01,  8.640469033007328e-02,  2.782194616573119e-02, -1.748267542790985e-01, -6.397470286420091e-02,  1.594045953216791e-01
  6.416666666666667e-01, -1.772803524691407e-02,  9.291442820153861e-02,  1.235545774037497e-01,  8.638397768688083e-02,  2.775045964199174e-02, -1.748125063436161e-01, -6.396647341527284e-02,  1.592917329564855e-01
  6.500000000000001e-01, -1.780878950754006e-02,  9.281687348856171e-02,  1.234126476585564e-01,  8.635872009124505e-02,  2.768097065343356e-02, -1.747922367629648e-01, -6.395763691008412e-02,  1.591883481438428e-01
  6.583333333333334e-01, -1.787976985299386e-02,  9.271582581921622e-02,  1.232657322691144e-01,  8.632768795315851e-02,  2.761124462358788e-02, -1.747645648720260e-01, -6.394679680933976e-02,  1.590931200869247e-01
  6.666666666666667e-01, -1.793997046931658e-02,  9.261249296427065e-02,  1.231148914178444e-01,  8.628950115155071e-02,  2.753993712289948e-02, -1.747290745405000e-01, -6.393224037008642e-02,  1.590044666361046e-01
  6.750000000000000e-01, -1.798849159253786e-02,  9.250812609784775e-02,  1.229609501500829e-01,  8.624288140455588e-02,  2.746673634635943e-02, -1.746861606606924e-01, -6.391230595147140e-02,  1.589205298340248e-01
  6.833333333333333e-01, -1.802450659386087e-02,  9.240390898580753e-02,  1.228053348214853e-01,  8.618699121743552e-02,  2.739189396853536e-02, -1.746365165186217e-01, -6.388566905265239e-02,  1.588391616468571e-01
  6.916666666666667e-01, -1.804714230121049e-02,  9.230091998855228e-02,  1.226503607383347e-01,  8.612170727641187e-02,  2.731566621764525e-02, -1.745807720184418e-01, -6.385156472028743e-02,  1.587584988091635e-01
  7.000000000000001e-01, -1.805568903077943e-02,  9.220059762692911e-02,  1.224989439308651e-01,  8.604720834184876e-02,  2.723755995433574e-02, -1.745201768804836e-01, -6.381007310467729e-02,  1.586803358018782e-01
  7.083333333333335e-01, -1.804831766121183e-02,  9.210286094873466e-02,  1.223538651384340e-01,  8.596674711909673e-02,  2.715926152948867e-02, -1.744532268428951e-01, -6.376159295028910e-02,  1.585964867997959e-01
  7.166666666666668e-01, -1.802506011276302e-02,  9.201038679978746e-02,  1.222171376737411e-01,  8.588100017976386e-02,  2.707987526704825e-02, -1.743830747230474e-01, -6.370808366886527e-02,  1.585157170423049e-01
  7.250000000000001e-01, -1.798538822408229e-02,  9.192460362613208e-02,  1.220892093131368e-01,  8.579317252611138e-02,  2.700139640640131e-02, -1.743106508945806e-01, -6.365171682068221e-02,  1.584366215073323e-01
  7.333333333333334e-01, -1.792980407528520e-02,  9.184756751395717e-02,  1.219693928145279e-01,  8.570593984755419e-02,  2.692583005417348e-02, -1.742381192388148e-01, -6.359515690788239e-02,  1.583606993857068e-01
  7.416666666666667e-01, -1.785967425806749e-02,  9.178135685547373e-02,  1.218563814947629e-01,  8.562164769561195e-02,  2.685521757446008e-02, -1.741680384631686e-01, -6.354107292555572e-02,  1.582895912690099e-01
  7.500000000000000e-01, -1.777719934803415e-02,  9.172778024946560e-02,  1.217487223641123e-01,  8.554212796459211e-02,  2.679121976615995e-02, -1.741030359861988e-01, -6.349192898264300e-02,  1.582249839789402e-01
  7.583333333333333e-01, -1.768522340325860e-02,  9.168801657441605e-02,  1.216450268687504e-01,  8.546868235040542e-02,  2.673495445260254e-02, -1.740453917399639e-01, -6.344986087675093e-02,  1.581685401684846e-01
  7.666666666666666e-01, -1.758693935440058e-02,  9.166242541541814e-02,  1.215441175736683e-01,  8.540218554175348e-02,  2.668706590128034e-02, -1.739967645677490e-01, -6.341660119619223e-02,  1.581216602531754e-01
  7.750000000000001e-01, -1.748554116491829e-02,  9.165062194421703e-02,  1.214451587876419e-01,  8.534319160688111e-02,  2.664776611071540e-02, -1.739581753518929e-01, -6.339348550020857e-02,  1.580853809928721e-01
  7.833333333333334e-01, -1.738385637874885e-02,  9.165157032964166e-02,  1.213477063608930e-01,  8.529199702656404e-02,  2.661672836661233e-02, -1.739300832149794e-01, -6.338147788043169e-02,  1.580605551510463e-01
  7.916666666666667e-01, -1.728408165871688e-02,  9.166356663280872e-02,  1.212516856624604e-01,  8.524867093410546e-02,  2.659307666621258e-02, -1.739124562967372e-01, -6.338113070282515e-02,  1.580479862113498e-01
  8.000000000000000e-01, -1.718771795076424e-02,  9.168428867816947e-02,  1.211573251849412e-01,  8.521306705076295e-02,  2.657554971453813e-02, -1.739048936909472e-01, -6.339251569410347e-02,  1.580484991590317e-01
  8.083333333333333e-01, -1.709564557486061e-02,  9.171106654263772e-02,  1.210649906693473e-01,  8.518483954009336e-02,  2.656272086734646e-02, -1.739067977546500e-01, -6.341523468376394e-02,  1.580630626840933e-01
  8.166666666666667e-01, -1.700818860352560e-02,  9.174127454251391e-02,  1.209748291188887e-01,  8.516349215936220e-02,  2.655336645945017e-02, -1.739175058450476e-01, -6.344852493770385e-02,  1.580926650389178e-01
  8.250000000000000e-01, -1.692510040830834e-02,  9.177262303940403e-02,  1.208864061476726e-01,  8.514842097659413e-02,  2.654691919691543e-02, -1.739363687112859e-01, -6.349132624734680e-02,  1.581379531664929e-01
  8.333333333333333e-01, -1.684558354789636e-02,  9.180327280642664e-02,  1.207987098808271e-01,  8.513886307826125e-02,  2.654359578108001e-02, -1.739628128586384e-01, -6.354223913277386e-02,  1.581991041773098e-01
  8.416666666666668e-01, -1.676845849468542e-02,  9.183186654102871e-02,  1.207105180157115e-01,  8.513382635566916e-02,  2.654409498818833e-02, -1.739963329029631e-01, -6.359949362593363e-02,  1.582758931097967e-01
  8.500000000000001e-01, -1.669237066333249e-02,  9.185751656489094e-02,  1.206207884266500e-01,  8.513220770583634e-02,  2.654921256156650e-02, -1.740363805084757e-01, -6.366106972137281e-02,  1.583675446154285e-01
  8.583333333333334e-01, -1.661586880994496e-02,  9.187971444076926e-02,  1.205288520488193e-01,  8.513306187438198e-02,  2.655950536217433e-02, -1.740822336493015e-01, -6.372501307510062e-02,  1.584726449384094e-01
  8.666666666666667e-01, -1.653739398612395e-02,  9.189820958737949e-02,  1.204344383681021e-01,  8.513573959894596e-02,  2.657488018356990e-02, -1.741329161418501e-01, -6.378980205471231e-02,  1.585896424103431e-01
  8.750000000000000e-01, -1.645531129052875e-02,  9.191294032922470e-02,  1.203377094051589e-01,  8.513982994266125e-02,  2.659428891073534e-02, -1.741871582233293e-01, -6.385447898370014e-02,  1.587174294999665e-01
  8.833333333333333e-01, -1.636802449874645e-02,  9.192401972626052e-02,  1.202393803908619e-01,  8.514506910927132e-02,  2.661580204483482e-02, -1.742434109456336e-01, -6.391846977175715e-02,  1.588552441823116e-01
  8.916666666666666e-01, -1.627414637516898e-02,  9.193170776172943e-02,  1.201408717543514e-01,  8.515126300623652e-02,  2.663686748077621e-02, -1.742999408813525e-01, -6.398129929092863e-02,  1.590022028469338e-01
  8.999999999999999e-01, -1.617271672765084e-02,  9.193630059219338e-02,  1.200445179020116e-01,  8.515818862615747e-02,  2.665440786511653e-02, -1.743549075545301e-01, -6.404241343302812e-02,  1.591570244281000e-01
  9.083333333333334e-01, -1.606345469374355e-02,  9.193790032275562e-02,  1.199537702640817e-01,  8.516550248636799e-02,  2.666481635652684e-02, -1.744062986592880e-01, -6.410119911225790e-02,  1.593179290085555e-01
  9.166666666666667e-01, -1.594692735251794e-02,  9.193614084173451e-02,  1.198730391701084e-01,  8.517270953818881e-02,  2.666425048440701e-02, -1.744518237244388e-01, -6.415713322008286e-02,  1.594825645765837e-01
  9.250000000000000e-01, -1.582452272067493e-02,  9.193007419940025e-02,  1.198070031698462e-01,  8.517922503334108e-02,  2.664938488914803e-02, -1.744890029853869e-01, -6.420986281299906e-02,  1.596479362536664e-01
  9.333333333333333e-01, -1.569826383691834e-02,  9.191828797705859e-02,  1.197597215013184e-01,  8.518450836952712e-02,  2.661814712562482e-02, -1.745154696900816e-01, -6.425914463162564e-02,  1.598105280620442e-01
  9.416666666666667e-01, -1.557047409957106e-02,  9.189917653438151e-02,  1.197338855479553e-01,  8.518819429868342e-02,  2.656999826352702e-02, -1.745293099718291e-01, -6.430480405863509e-02,  1.599667204723824e-01
  9.500000000000002e-01, -1.544324346991888e-02,  9.187143715323587e-02,  1.197302358919672e-01,  8.519015011648030e-02,  2.650601819080212e-02, -1.745294061558363e-01, -6.434684864047986e-02,  1.601131454390109e-01
  9.583333333333335e-01, -1.531797411515630e-02,  9.183472626452183e-02,  1.197471206276612e-01,  8.519031523555888e-02,  2.642907901080194e-02, -1.745158579851015e-01, -6.438556144881273e-02,  1.602469311205597e-01
  9.666666666666668e-01, -1.519546533376073e-02,  9.178998404550898e-02,  1.197802424771966e-01,  8.518816675353445e-02,  2.634396138449868e-02, -1.744903788231497e-01, -6.442123311032337e-02,  1.603662130256157e-01
  9.750000000000001e-01, -1.507631229078873e-02,  9.173910722107737e-02,  1.198228773221198e-01,  8.518223751558882e-02,  2.625714193955386e-02, -1.744562796788200e-01, -6.445365611405916e-02,  1.604705343758501e-01
  9.833333333333334e-01, -1.496095317770655e-02,  9.168427009298852e-02,  1.198669055283458e-01,  8.517040112076697e-02,  2.617597683798167e-02, -1.744177676287192e-01, -6.448193888180362e-02,  1.605604703519614e-01
  9.916666666666667e-01, -1.484946341653292e-02,  9.162743788576067e-02,  1.199042002369877e-01,  8.515054669727164e-02,  2.610743663391402e-02, -1.743790744370545e-01, -6.450469296351662e-02,  1.606370127819336e-01
  1.000000000000000e+00, -1.474161999623887e-02,  9.157028547905188e-02,  1.199275691271122e-01,  8.512075452352626e-02,  2.605702827071177e-02, -1.743441034534976e-01, -6.452020671902746e-02,  1.607015252494178e-01
  1.008333333333334e+00, -1.463713769268174e-02,  9.151427458954231e-02,  1.199313511941519e-01,  8.507914875466238e-02,  2.602817298448734e-02, -1.743163453581485e-01, -6.452656990329764e-02,  1.607558338086927e-01
  1.016666666666667e+00, -1.453575897228418e-02,  9.146063995500131e-02,  1.199121256306781e-01,  8.502400259619274e-02,  2.602183364253885e-02, -1.742985634924710e-01, -6.452187248017299e-02,  1.608018189228469e-01
  1.025000000000000e+00, -1.443721489866489e-02,  9.141027484814890e-02,  1.198694612396278e-01,  8.495415147240770e-02,  2.603630552748593e-02, -1.742923194449085e-01, -6.450448456699764e-02,  1.608407434949626e-01
  1.033333333333333e+00, -1.434118278547225e-02,  9.136355017527320e-02,  1.198063276955036e-01,  8.486949675805461e-02,  2.606730617259911e-02, -1.742975808245147e-01, -6.447339214189503e-02,  1.608727871052465e-01
  1.041666666666667e+00, -1.424735762057401e-02,  9.132016310641466e-02,  1.197287178838042e-01,  8.477118473364503e-02,  2.610853126121260e-02, -1.743126379458398e-01, -6.442841144623684e-02,  1.608970347276638e-01
  1.050000000000000e+00, -1.415565576042062e-02,  9.127919699873144e-02,  1.196443506193060e-01,  8.466119891558270e-02,  2.615270434719252e-02, -1.743344995502603e-01, -6.437012972004467e-02,  1.609118534605466e-01
  1.058333333333333e+00, -1.406634501164731e-02,  9.123941014967762e-02,  1.195610668202479e-01,  8.454174611389702e-02,  2.619274184427489e-02, -1.743595800888913e-01, -6.429968432440918e-02,  1.609153301349542e-01
  1.066666666666667e+00, -1.397991996278702e-02,  9.119955467514362e-02,  1.194856658646617e-01,  8.441495839579401e-02,  2.622247205773043e-02, -1.743843012877029e-01, -6.421856521335287e-02,  1.609056520310877e-01
  1.075000000000000e+00, -1.389683964027264e-02,  9.115857252159598e-02,  1.194232843930066e-01,  8.428288591301503e-02,  2.623691763683600e-02, -1.744054803816860e-01, -6.412848875787386e-02,  1.608814494823051e-01
  1.083333333333333e+00, -1.381735881530152e-02,  9.111568880326115e-02,  1.193769310210783e-01,  8.414745261103893e-02,  2.623270814695955e-02, -1.744205994377829e-01, -6.403132724524825e-02,  1.608419810096178e-01
  1.091666666666667e+00, -1.374151848753147e-02,  9.107048043682187e-02,  1.193470129964416e-01,  8.401028802998541e-02,  2.620871152821747e-02, -1.744280138432438e-01, -6.392907624955788e-02,  1.607872657494088e-01
  1.100000000000000e+00, -1.366926210165467e-02,  9.102292243412857e-02,  1.193315099197285e-01,  8.387267996892060e-02,  2.616612099200077e-02, -1.744270032977933e-01, -6.382384545372889e-02,  1.607181170807919e-01
  1.108333333333333e+00, -1.360060711718117e-02,  9.097335652533411e-02,  1.193272251749753e-01,  8.373584032396704e-02,  2.610767806233438e-02, -1.744175402147245e-01, -6.371792189183978e-02,  1.606356859179206e-01
  1.116666666666667e+00, -1.353570934761119e-02,  9.092241389810107e-02,  1.193310748522228e-01,  8.360126106444105e-02,  2.603671788103834e-02, -1.743999227435434e-01, -6.361388661617652e-02,  1.605409611821179e-01
  1.125000000000000e+00, -1.347473980799378e-02,  9.087101046716861e-02,  1.193404442513947e-01,  8.347082891328621e-02,  2.595647848307903e-02, -1.743746090576448e-01, -6.351461605835489e-02,  1.604348817963739e-01
  1.133333333333333e+00, -1.341770313804964e-02,  9.082044665393862e-02,  1.193530221891356e-01,  8.334667352470562e-02,  2.586962952022498e-02, -1.743423422916400e-01, -6.342307934068966e-02,  1.603186372550537e-01
  1.141666666666667e+00, -1.336433949687572e-02,  9.077250097236145e-02,  1.193666868383639e-01,  8.323094226016439e-02,  2.577816344227157e-02, -1.743043315016552e-01, -6.334207327665344e-02,  1.601938780517506e-01
  1.150000000000000e+00, -1.331413013278046e-02,  9.072942454584232e-02,  1.193794134102326e-01,  8.312564644562043e-02,  2.568361512628869e-02, -1.742623313908986e-01, -6.327405195689681e-02,  1.600631221276276e-01
  1.158333333333333e+00, -1.326636109894025e-02,  9.069384559596072e-02,  1.193891170425571e-01,  8.303257178291008e-02,  2.558711977427430e-02, -1.742187028695065e-01, -6.322099498076680e-02,  1.599301070986881e-01
  1.166666666666667e+00, -1.322023065530300e-02,  9.066851624780070e-02,  1.193935720212249e-01,  8.295321683908272e-02,  2.548915746582403e-02, -1.741763644038148e-01, -6.318421382383235e-02,  1.597995528108676e-01
  1.175000000000000e+00, -1.317509218502998e-02,  9.065581126725064e-02,  1.193905295256036e-01,  8.288874523810252e-02,  2.538949230052068e-02, -1.741383462337570e-01, -6.316418987052907e-02,  1.596763260718448e-01
  1.183333333333333e+00, -1.313078306552315e-02,  9.065729185999993e-02,  1.193780024830518e-01,  8.283993960440389e-02,  2.528756690294887e-02, -1.741071337120301e-01, -6.316061463844602e-02,  1.595645172928328e-01
  1.191666666666667e+00, -1.308775311540964e-02,  9.067371410805669e-02,  1.193546193406518e-01,  8.280720202759823e-02,  2.518303200517047e-02, -1.740843112913215e-01, -6.317268484442928e-02,  1.594668718055929e-01
  1.200000000000000e+00, -1.304692304619093e-02,  9.070513844562900e-02,  1.193199041101875e-01,  8.279062191503483e-02,  2.507613621422289e-02, -1.740705008267865e-01, -6.319950438494130e-02,  1.593846709307838e-01
  1.208333333333333e+00, -1.300944657426684e-02,  9.075067002452064e-02,  1.192743186078215e-01,  8.279006665389521e-02,  2.496785353789832e-02, -1.740653257064630e-01, -6.324028364736084e-02,  1.593180072127775e-01
  1.216666666666667e+00, -1.297772953301289e-02,  9.080828426560328e-02,  1.192187200518884e-01,  8.280423234802026e-02,  2.485968503552050e-02, -1.740678715970262e-01, -6.329377514493779e-02,  1.592678480825302e-01
  1.225000000000000e+00, -1.294980539610856e-02,  9.087427580468055e-02,  1.191550444927622e-01,  8.283488648928701e-02,  2.475356887785396e-02, -1.740753645126495e-01, -6.335988807761950e-02,  1.592301139893072e-01
  1.233333333333333e+00, -1.292764340199613e-02,  9.094489459549027e-02,  1.190847703188423e-01,  8.288063813082229e-02,  2.465113439085842e-02, -1.740860426131390e-01, -6.343704828043195e-02,  1.592054801204972e-01
  1.241666666666667e+00, -1.291112701457176e-02,  9.101650022209706e-02,  1.190094115957445e-01,  8.294086934694625e-02,  2.455381962153735e-02, -1.740982321206850e-01, -6.352402771569245e-02,  1.591937820540425e-01
  1.250000000000000e+00, -1.289961697657231e-02,  9.108612962507467e-02,  1.189303063008625e-01,  8.301458543409991e-02,  2.446261308043263e-02, -1.741108929091692e-01, -6.361975558018239e-02,  1.591953556517522e-01
  1.258333333333333e+00, -1.289233414716615e-02,  9.115155758322002e-02,  1.188485175853847e-01,  8.310019529372997e-02,  2.437803446901121e-02, -1.741235986909899e-01, -6.372335115452919e-02,  1.592107127628657e-01
