time(sec),semimem,bifem,vasmed,vaslat,rf,medgas,latgas,tfl,tibant,peronl,soleus,addmagnus,gmax,gmed, sartorius
3.332500,-0.000798,0.034174,-0.000893,-0.017274,-0.016439,-0.034856,-0.035581,-0.007741,0.005895,-0.071497,0.059506,0.021164,0.009831,0.000091,0.001243,
3.333333,-0.000780,0.033208,0.000349,-0.059439,-0.031929,-0.103818,-0.034949,-0.035128,0.006696,-0.037749,0.047932,0.017633,0.014078,0.003170,-0.002553,
3.334167,-0.001371,0.021170,0.000821,-0.116395,-0.031386,-0.057105,-0.027159,-0.025966,0.002606,0.021208,0.028058,0.021184,0.009424,-0.004562,0.001431,
3.335000,0.002158,0.012448,-0.001003,-0.153350,-0.011601,-0.045017,-0.018774,0.004934,0.013821,0.052265,0.041995,0.022361,0.002596,0.007258,-0.001455,
3.335833,-0.001483,0.017001,0.001441,-0.149851,-0.016515,-0.144597,-0.034672,0.010869,-0.005222,0.052362,-0.021494,0.004531,0.010087,-0.005772,0.001913,
3.336667,0.002198,0.005724,-0.002070,0.011306,-0.015297,-0.272974,0.002966,-0.010005,0.003976,0.025155,-0.092981,-0.007283,0.018937,0.011736,-0.000370,
3.337500,-0.003277,-0.000749,0.002960,0.222103,-0.011449,-0.168893,0.054316,-0.018796,0.022245,0.013971,-0.117684,-0.021320,0.007186,-0.003392,-0.001435,
3.338333,0.000095,-0.013525,-0.002694,0.134195,0.014417,0.025014,0.039729,-0.015216,-0.017954,0.022927,-0.129169,-0.021869,0.008258,0.002707,-0.000978,
3.339167,-0.002028,-0.020672,0.001873,-0.026577,0.003565,0.047860,0.020700,-0.038350,-0.020897,-0.008256,-0.149551,-0.015493,0.001411,-0.003385,-0.002355,
3.340000,0.000272,-0.014842,-0.001343,0.027724,0.004677,0.035650,0.009750,-0.082878,-0.029412,-0.013965,-0.146320,-0.008912,-0.016249,-0.001529,0.001757,
3.340833,0.000586,-0.003797,0.000170,0.099647,0.011200,0.108063,0.005206,-0.068873,-0.006222,-0.010227,-0.047899,-0.010524,-0.008248,0.003391,-0.000694,
3.341667,-0.000324,0.016145,0.000615,0.072754,0.020546,0.212356,-0.033968,-0.014365,-0.008815,-0.053651,0.050360,0.002250,-0.015016,-0.005871,0.002499,
3.342500,0.002732,0.015242,-0.001228,0.026672,0.027987,0.148390,-0.050997,0.004626,0.002517,-0.059859,0.059056,0.001935,-0.015798,0.000287,-0.000719,
3.343333,-0.000929,0.002814,0.001659,-0.075256,0.023149,0.050494,-0.020691,0.079009,0.012390,-0.024271,0.031457,-0.000488,-0.010439,-0.008502,0.002013,
3.344167,0.003039,-0.006484,-0.002014,-0.106126,0.020829,-0.014448,-0.036112,0.225535,0.006787,-0.012349,0.041276,0.007180,-0.003512,0.005905,0.000931,
3.345000,-0.001540,0.005056,0.002555,-0.095450,0.014157,-0.070344,-0.038958,0.212387,0.030428,-0.004561,0.080738,0.001584,-0.007530,-0.006234,0.000306,
3.345833,0.002272,0.008291,-0.002336,-0.068940,0.014262,-0.121121,-0.000674,0.119178,0.052957,0.029458,0.190135,0.001791,-0.003417,0.005125,0.001209,
3.346667,-0.000172,0.012838,0.001472,-0.022567,0.013810,-0.250206,0.020927,0.026285,0.035156,0.075822,0.211078,0.000163,0.001351,-0.000147,-0.000940,
3.347500,0.001503,0.010150,-0.000059,0.024488,0.022706,-0.115775,0.025710,-0.050916,0.029967,0.077461,0.085277,0.019578,0.005095,-0.000081,0.003475,
3.348333,0.001652,0.029679,0.000548,0.084920,0.015603,0.130982,0.021629,-0.092011,0.019065,0.068402,-0.058037,0.023407,0.013308,0.005019,-0.001112,
3.349167,-0.000489,0.030071,0.000852,0.109763,0.007744,0.180784,0.030979,-0.100080,0.002278,0.028804,-0.038668,0.013626,0.005695,-0.006060,0.002390,
3.350000,0.001490,0.013310,-0.002048,0.086353,0.000332,0.114505,0.023718,-0.097269,0.005979,-0.013260,0.050593,0.005636,0.007279,0.007882,-0.002040,
3.350833,-0.002787,0.002744,0.001920,0.027339,-0.003751,0.059553,0.001386,-0.099922,-0.006634,-0.029718,0.062633,-0.016744,0.008138,-0.007172,0.000551,
3.351667,0.001175,-0.021310,-0.002046,-0.018026,-0.010779,0.037125,0.002449,-0.125898,-0.009805,-0.022861,-0.011108,-0.015527,0.011322,0.009354,-0.000518,
3.352500,-0.002950,-0.031382,0.002229,-0.040171,-0.020919,0.025074,0.014101,-0.094019,-0.018367,-0.036334,-0.015315,-0.008114,0.001110,-0.013035,-0.002501,
3.353333,0.000859,-0.033876,-0.002194,-0.056244,-0.012669,0.031149,0.016363,-0.002441,-0.010230,-0.039928,-0.052082,0.003353,0.000693,0.003632,-0.000058,
3.354167,-0.001283,-0.039312,0.000403,-0.064941,-0.024644,0.009995,0.004512,0.047992,-0.026168,-0.047073,-0.194205,-0.000203,-0.003057,-0.000306,-0.002647,
3.355000,-0.000526,-0.083845,-0.000510,-0.073210,-0.026639,-0.011273,-0.012749,0.046170,-0.027301,-0.034727,-0.236609,-0.000016,-0.012585,-0.003028,0.001173,
3.355833,0.000537,-0.126877,-0.000202,-0.062830,-0.031321,-0.013782,-0.006121,0.008453,-0.017627,-0.015863,-0.193945,-0.010583,-0.006686,0.005687,-0.002329,
3.356667,-0.001453,-0.117126,0.000868,-0.052821,-0.039298,-0.025510,-0.012985,-0.009882,-0.027688,-0.008483,-0.099317,-0.013898,-0.010086,-0.005134,0.001952,
3.357500,0.002051,-0.067860,-0.001266,-0.023758,-0.034851,-0.040255,-0.013047,-0.027102,-0.013560,0.024951,0.003186,-0.008280,-0.010275,0.008759,-0.000938,
3.358333,-0.002380,-0.049259,0.001481,0.023483,-0.006678,-0.038692,-0.024621,-0.029579,-0.014324,0.028595,0.103967,-0.010510,-0.006344,-0.007261,0.000752,
3.359167,0.001735,0.021538,-0.001876,0.075661,0.005865,-0.027283,-0.011088,-0.016350,0.006782,-0.018453,0.160777,0.001237,0.001856,0.008758,0.000154,
3.360000,-0.002085,0.085174,0.002243,0.125789,-0.003921,-0.025457,-0.006022,0.018430,-0.007163,-0.010140,0.122979,-0.002633,-0.003990,-0.004372,0.000320,
3.360833,0.000963,0.099684,-0.001421,0.180305,0.012199,-0.016629,0.000490,0.043375,0.015402,0.012034,0.066734,0.000012,0.004647,0.002482,0.002165,
3.361667,-0.001023,0.141198,0.001170,0.094128,0.024489,-0.022200,0.003710,0.068443,0.016040,0.026862,0.027310,-0.001958,0.009147,0.000635,-0.001482,
3.362500,-0.000109,0.290417,-0.000970,0.027202,0.030375,-0.019165,-0.001556,0.062697,-0.004019,0.028853,0.013425,-0.010670,0.006303,-0.001369,0.001433,
3.363333,0.001111,0.297378,-0.000059,0.076306,-0.001404,-0.019300,0.014588,0.045697,0.019934,0.026095,-0.021901,0.004098,0.015487,0.006541,-0.002212,
3.364167,-0.000718,0.101166,0.001462,0.053498,-0.037414,-0.008895,0.013530,0.054546,0.007352,0.020880,-0.008466,0.011839,0.011674,-0.008441,0.001924,
3.365000,0.002489,-0.038245,-0.002207,-0.009734,-0.031860,0.006851,0.013875,0.028226,0.016850,0.021294,0.010711,0.020954,0.011643,0.000988,-0.001263,
3.365833,-0.001167,-0.096178,0.002059,-0.031836,-0.012348,-0.007622,0.006457,0.013741,-0.000984,0.008110,0.009086,0.014363,0.010968,-0.008508,0.000739,
3.366667,0.002960,-0.145002,-0.002373,-0.003261,0.015642,-0.001959,0.007288,0.002243,0.005147,0.011846,0.014584,0.009927,0.002474,0.006408,0.000604,
3.367500,-0.001762,-0.113958,0.001893,-0.007670,0.042656,0.001266,0.007353,-0.005817,-0.000582,0.006712,0.012552,0.007959,-0.007433,-0.002482,-0.001058,
3.368333,0.001301,-0.079992,-0.001166,-0.077894,0.067478,-0.010294,0.020985,-0.010604,-0.006543,-0.014006,0.009089,0.002516,-0.008528,0.002663,0.000943,
3.369167,-0.000670,-0.055041,0.000658,-0.156863,0.056842,-0.011135,0.035052,-0.006338,-0.004003,-0.011704,-0.001463,-0.002125,-0.010273,0.001704,-0.001940,
3.370000,-0.001113,-0.057597,-0.000111,-0.207321,0.047825,0.024401,0.001633,-0.000367,-0.014597,-0.027580,-0.002332,0.001062,-0.013430,-0.004598,0.001737,
3.370833,0.001191,-0.048011,-0.000879,-0.255002,0.036601,0.019134,-0.031369,-0.004314,-0.024252,-0.049121,-0.006047,0.005518,-0.010215,0.007867,-0.001606,
3.371667,-0.001538,-0.053915,0.002016,-0.257567,-0.004764,0.003919,-0.021387,-0.008901,-0.037057,-0.014832,-0.006828,-0.010266,-0.012373,-0.006981,0.001916,
3.372500,0.002141,-0.062803,-0.002717,-0.079722,-0.013725,0.002746,-0.016949,-0.014770,-0.069158,-0.007256,-0.008511,-0.011957,-0.011202,0.008536,-0.000362,
3.373333,-0.002113,-0.048423,0.002470,0.046870,0.006496,-0.005101,-0.037283,-0.023936,-0.120378,-0.012199,-0.010506,-0.015270,-0.024399,-0.007075,0.000563,
3.374167,0.001720,-0.036706,-0.002870,0.160949,0.012392,0.006203,-0.037682,-0.022848,-0.079767,-0.007527,-0.001999,-0.001740,-0.007248,0.006764,-0.000192,
3.375000,-0.001313,-0.026868,0.002015,0.145171,-0.018181,0.007395,-0.025011,-0.022066,-0.043597,0.007685,-0.000406,-0.000968,0.001500,-0.008082,-0.001103,
3.375833,0.001451,-0.029259,-0.001491,0.066526,-0.032447,0.004159,-0.017271,-0.021158,-0.038109,0.011780,0.006462,-0.010057,-0.004711,-0.000648,0.002257,
3.376667,-0.000667,0.008033,0.001262,0.006504,-0.059112,0.009343,-0.022698,-0.022130,0.021680,-0.007439,0.022402,-0.012222,0.008154,0.002057,-0.002014,
3.377500,-0.001567,0.052693,-0.000104,-0.058384,-0.062485,0.009858,0.010595,-0.015545,0.028788,-0.019747,0.022833,0.000317,0.011262,-0.003627,0.001341,
3.378333,0.001347,0.047691,-0.000399,-0.072902,-0.028238,0.001153,0.032261,-0.022779,0.097932,0.002791,0.013544,0.001007,0.009196,0.007324,-0.003241,
3.379167,-0.002301,0.034566,0.001749,-0.048500,-0.013907,0.006296,0.007670,-0.008444,0.348699,-0.001916,0.002918,-0.002221,0.018287,-0.008577,0.001025,
3.380000,0.002136,0.042347,-0.001595,-0.010989,-0.015837,0.012337,0.027009,0.008071,0.429319,0.011003,-0.035902,0.015653,0.024045,0.007722,-0.000509,
3.380833,-0.001516,0.139728,0.002387,0.042795,-0.023505,0.011514,0.029402,0.016540,0.108100,0.022180,-0.091319,0.014648,0.013500,-0.004356,0.000243,
3.381667,0.002460,0.125017,-0.001718,0.097224,-0.009140,0.013147,0.031489,0.014825,-0.023602,0.015755,-0.080321,0.012456,0.022666,0.006764,0.000993,
3.382500,-0.000890,0.025703,0.002571,0.148704,-0.001428,0.001379,0.026714,0.005372,0.049240,0.027593,-0.068361,0.005258,0.018278,-0.004237,-0.000395,
3.383333,0.000641,-0.007440,-0.001226,0.195747,0.008638,0.023975,0.028356,-0.005865,-0.045316,0.027181,-0.027957,-0.004361,0.014222,-0.001195,0.002184,
3.384167,-0.000577,-0.008886,0.000164,0.188011,0.010078,-0.005883,0.023297,-0.003618,-0.093426,0.018795,0.017404,0.003581,0.009426,0.002919,-0.001801,
3.385000,-0.001033,-0.019368,0.000029,0.123343,0.005492,-0.011140,0.007419,0.010750,-0.127368,0.022119,0.035241,0.006644,-0.000993,-0.005321,0.002301,
3.385833,0.000951,-0.036291,-0.000870,0.071284,0.010453,-0.011177,0.003307,0.002461,-0.131954,0.004041,0.039762,0.009856,-0.007121,0.008263,-0.001990,
3.386667,-0.003323,-0.036008,0.001586,0.029018,0.025428,-0.008899,-0.029169,0.007233,-0.120680,-0.035597,0.033580,0.000544,-0.018877,-0.006682,-0.000177,
3.387500,0.001863,-0.021425,-0.002214,0.013852,0.035774,-0.015911,-0.045298,0.004327,-0.130672,-0.053159,0.031364,0.001738,-0.022684,0.007522,-0.002027,
3.388333,-0.003328,-0.001555,0.001613,0.026137,0.029447,-0.005215,-0.036384,0.005201,-0.097728,-0.059334,0.033132,-0.009762,-0.036244,-0.005584,-0.000672,
3.389167,0.001552,-0.001129,-0.002497,0.014788,0.037582,0.001356,-0.009901,0.009562,-0.097705,-0.064661,0.035848,-0.010924,-0.041704,0.003744,0.001447,
3.390000,-0.000741,0.001047,0.002242,-0.029785,0.049197,-0.001702,-0.006284,0.018035,-0.068956,-0.052672,0.020299,-0.015335,-0.036319,-0.002489,-0.001773,
3.390833,0.001392,-0.006943,-0.002177,-0.026845,0.052244,0.003448,-0.016681,0.014761,-0.046562,0.032924,0.018694,-0.013388,-0.026649,-0.002310,0.001569,
3.391667,0.001846,-0.005737,-0.000037,0.016151,0.025365,-0.013114,-0.020490,-0.002080,-0.022250,0.073247,0.018682,-0.002647,-0.019712,0.003365,-0.001648,
3.392500,-0.000141,-0.005266,0.000269,-0.030776,-0.012666,-0.008222,-0.019082,-0.011117,-0.002379,0.069651,0.023777,0.002084,-0.002231,-0.007438,0.002613,
3.393333,0.002603,-0.010579,-0.001258,-0.091755,-0.032090,-0.010882,-0.025118,-0.006850,0.012197,0.058585,0.017350,0.005989,0.022591,0.007242,-0.000753,
3.394167,-0.001367,-0.018028,0.001638,-0.131791,-0.041600,-0.013480,0.001076,-0.002395,0.027962,0.055135,0.004896,0.006931,0.029883,-0.007678,0.002139,
3.395000,0.003057,-0.046695,-0.002182,-0.165769,-0.040580,-0.012980,0.029900,-0.015450,0.025468,0.000685,-0.016791,0.002469,0.029259,0.007462,0.001523,
3.395833,-0.002285,-0.050506,0.002235,-0.193448,-0.054045,0.000979,0.026719,-0.026480,0.028608,-0.046805,-0.013993,-0.010906,0.046047,-0.004864,-0.000006,
3.396667,0.000765,0.001660,-0.002199,-0.172602,-0.044298,0.006104,0.012132,-0.042353,0.041137,-0.041583,-0.062397,0.000073,0.037827,0.005699,0.000603,
3.397500,-0.002135,0.030912,0.001605,-0.116978,-0.040932,0.000090,0.020776,-0.014699,0.047434,-0.007628,-0.118672,0.001077,0.025499,-0.004187,-0.002907,
3.398333,-0.000305,0.021990,-0.000391,-0.076315,-0.050342,0.009017,0.030981,0.028858,0.070477,0.153000,-0.019251,-0.004685,0.022946,-0.000798,0.001367,
3.399167,-0.000002,0.019146,0.000054,-0.036241,-0.038643,0.014709,0.024432,0.041468,0.060000,0.111302,0.037192,0.003849,0.013835,0.005488,-0.001987,
3.400000,-0.001682,0.005750,0.001261,0.003748,0.001961,0.039432,0.016841,0.065849,0.053161,-0.012195,0.043634,0.001356,-0.001993,-0.006234,0.001525,
3.400833,0.001519,-0.008581,-0.000889,0.041732,0.039594,0.037393,0.002402,0.083832,0.036910,-0.106573,0.038216,-0.000103,-0.006233,0.008287,-0.002744,
3.401667,-0.002910,-0.004463,0.002454,0.033994,0.044816,0.012546,-0.010043,0.044140,0.027483,-0.138881,0.026579,-0.001589,-0.014152,-0.007865,0.001226,
3.402500,0.004104,0.006819,-0.002138,0.029906,0.046022,-0.005521,-0.005853,-0.020893,0.012874,-0.146051,0.021537,-0.002637,-0.017821,0.008633,0.001382,
3.403333,-0.000329,0.015201,0.002273,0.059464,0.035744,-0.009648,-0.003808,-0.043069,-0.001079,-0.069487,-0.032150,-0.003239,-0.017551,-0.003558,0.000316,
3.404167,0.001494,0.009553,-0.001402,0.082472,0.024517,-0.019072,-0.004375,-0.062532,-0.007942,-0.001803,-0.044154,0.007294,-0.019449,0.005150,0.001232,
3.405000,-0.000654,0.011548,0.000722,0.040727,0.014176,-0.016715,-0.004664,-0.080206,-0.015942,-0.032101,-0.043316,-0.001397,-0.025197,-0.008118,-0.002278,
3.405833,-0.000209,0.031724,-0.001121,-0.015952,0.016013,-0.010366,-0.026353,-0.039034,0.001472,0.004737,-0.028267,0.001215,-0.028540,-0.002621,0.001534,
3.406667,0.000234,0.053457,0.000241,-0.009378,0.008816,-0.017121,-0.009635,0.020235,-0.007590,0.035790,-0.025252,0.005216,-0.022000,0.005617,-0.001827,
3.407500,-0.001310,0.021821,0.000383,0.027997,0.004786,-0.012571,0.001841,0.048311,-0.013242,0.027818,0.022794,0.008020,-0.024191,-0.007511,0.001677,
3.408333,0.002790,-0.029300,-0.001763,0.052866,0.005592,-0.006482,-0.006427,0.019097,0.000504,0.020059,0.071160,0.009022,-0.010541,0.006976,-0.000773,
3.409167,-0.002267,-0.062059,0.001891,0.056541,0.001610,-0.001601,-0.016132,0.024298,-0.009115,0.034204,0.045076,-0.000014,0.000340,-0.008601,0.000591,
3.410000,0.002898,-0.089114,-0.001626,0.092719,-0.000615,0.002991,-0.008051,0.031262,0.007594,0.082944,0.025563,-0.001383,0.009374,0.008014,0.000580,
3.410833,-0.002010,-0.068345,0.001877,0.155569,0.000276,0.003789,0.012474,-0.002274,-0.004966,0.096568,0.017042,-0.000574,0.004362,-0.002687,0.000109,
3.411667,0.001627,-0.050255,-0.001639,0.220163,-0.000773,0.011024,0.009432,-0.044565,0.002582,0.065639,-0.000174,0.012334,0.012319,0.003395,0.001011,
3.412500,-0.000993,-0.044606,0.000950,0.188920,-0.012934,0.005329,-0.009392,-0.093620,0.006982,0.052585,-0.001371,0.008046,0.016775,-0.000444,-0.002054,
3.413333,-0.002239,-0.018285,-0.000733,0.057932,-0.007390,-0.018475,-0.021868,-0.127605,0.008624,-0.016885,-0.035382,-0.002602,0.020483,-0.005352,-0.000084,
3.414167,-0.002874,0.035266,-0.000432,-0.006284,-0.017727,-0.017800,-0.014869,-0.055874,0.000269,-0.039148,-0.110606,-0.006486,0.017193,0.004083,-0.005284,
3.415000,-0.003812,0.128558,0.001396,-0.032990,-0.025960,0.006147,0.030838,0.092293,-0.006250,-0.003659,-0.083921,-0.021459,0.015151,-0.004488,-0.000107,
3.415833,0.001356,0.212449,-0.001811,-0.049017,-0.012729,0.059946,0.055142,0.157303,0.011279,-0.070012,-0.024760,-0.016698,0.021227,0.009677,-0.002252,
3.416667,-0.001406,0.134035,0.002001,-0.095078,-0.009023,0.080136,0.018990,0.113230,0.001679,-0.041052,0.044590,-0.008833,0.012687,-0.009725,0.001406,
3.417500,0.003160,0.001030,-0.002121,-0.107822,-0.003872,-0.008334,-0.015048,0.026618,0.000290,-0.006486,0.233377,-0.005343,0.012572,0.005817,0.001099,
3.418333,-0.002187,-0.062528,0.002303,-0.105064,0.000576,-0.025851,-0.018275,-0.031720,-0.027273,-0.023832,0.235196,-0.003635,-0.001089,-0.004272,-0.002101,
3.419167,0.000101,-0.088091,-0.001056,-0.093010,0.000649,0.014333,-0.052324,-0.060704,-0.048859,-0.026396,-0.009620,0.006362,-0.012280,0.000901,0.000959,
3.420000,-0.000045,-0.074459,0.001536,-0.076782,-0.005950,-0.018530,-0.068052,-0.084432,-0.028802,-0.042855,-0.109386,0.003589,-0.007269,0.002263,-0.002078,
3.420833,-0.001710,-0.055834,-0.000602,-0.066057,0.000610,-0.041257,-0.027148,-0.097553,-0.037018,-0.028493,-0.172903,0.003453,-0.012613,-0.003390,0.001910,
3.421667,0.001515,-0.039560,-0.000603,-0.044399,0.004762,-0.116693,0.033473,-0.059015,-0.017075,-0.027246,-0.238171,0.000611,-0.010312,0.009884,-0.001115,
3.422500,-0.000441,-0.018488,0.001531,-0.032269,0.010779,-0.131903,0.180500,0.021724,-0.022391,-0.028427,-0.137651,0.001317,-0.001134,-0.006744,0.003343,
3.423333,0.004171,-0.003473,-0.002438,-0.015614,0.022780,-0.066726,0.035679,0.096603,-0.002469,-0.013568,0.159632,0.010141,-0.005533,0.003490,0.001244,
3.424167,0.003601,0.018132,0.001527,0.013693,0.015745,0.016296,-0.127547,0.125031,-0.007051,0.040068,0.284107,0.013194,-0.001543,-0.008396,0.006017,
3.425000,0.007766,0.018845,-0.002290,0.130036,0.007534,0.059498,-0.056485,0.066264,0.002324,0.055120,0.098907,0.018403,0.001370,0.007649,0.005758,
3.425833,0.001560,0.006889,0.001980,0.164905,-0.009782,0.077998,-0.008700,0.014441,0.016514,0.037532,-0.050204,0.004400,-0.014806,-0.003308,0.001382,
3.426667,0.001154,0.029708,-0.001531,0.100733,-0.013153,0.087975,0.007572,-0.018546,0.005480,0.023919,-0.092724,-0.001969,-0.005370,0.001611,0.002042,
3.427500,-0.000624,0.085310,0.000450,0.018243,-0.011875,0.081955,0.039939,-0.019280,0.030437,0.051499,-0.131339,0.002341,-0.005420,0.003638,-0.002638,
3.428333,-0.001028,0.055126,-0.000163,-0.035993,-0.007004,0.097623,0.035451,-0.004254,0.010236,0.037401,-0.168944,0.005725,-0.005806,-0.005162,0.001376,
3.429167,-0.000368,-0.005454,-0.000928,-0.033232,-0.009209,0.056232,0.027980,0.022093,0.021054,0.009070,-0.034021,0.007564,0.001555,0.004813,-0.003615,
3.430000,-0.004593,-0.028984,0.000902,-0.102947,-0.017710,-0.054286,0.001346,0.028769,0.018219,0.026908,0.127260,0.004951,0.002928,-0.009009,-0.001134,
3.430833,0.001246,-0.036517,-0.001846,-0.148302,0.000464,-0.072209,0.011085,-0.009263,0.019926,0.021002,0.158504,0.003218,0.010059,0.008151,-0.003085,
3.431667,-0.003908,-0.027734,0.002883,-0.185215,0.006115,-0.015111,-0.011781,-0.033727,0.026675,0.003225,0.174619,-0.014426,0.006621,-0.004589,-0.002145,
3.432500,0.000238,-0.027645,-0.002305,-0.220747,-0.004862,0.033973,-0.004245,-0.039143,0.009057,-0.011651,-0.032364,-0.022657,0.012754,0.005716,-0.001213,
3.433333,-0.002949,-0.028294,0.003035,-0.221978,-0.006664,0.042816,0.005456,-0.037725,0.014567,-0.003213,-0.219213,-0.034145,0.004502,-0.016016,-0.003189,
3.434167,-0.000653,-0.025993,-0.000931,-0.215818,0.018423,0.080964,0.010900,-0.039703,0.008916,-0.006279,-0.122705,-0.020818,0.010248,0.001168,0.000318,
3.435000,-0.003097,-0.022391,0.000291,-0.420228,0.013344,0.050119,0.008872,-0.013951,0.000994,-0.013554,0.115413,-0.009075,0.004512,0.002486,-0.003966,
3.435833,-0.004026,-0.033477,0.000140,-0.378148,0.006494,-0.009926,-0.005368,0.010692,-0.008090,-0.029033,0.260925,-0.005633,-0.001413,-0.002600,0.000286,
3.436667,0.000682,-0.044870,-0.000926,-0.061631,0.012683,-0.052510,-0.011691,-0.023296,-0.016464,-0.026951,0.163997,0.006752,0.000717,0.011086,-0.002795,
3.437500,-0.001944,-0.033339,0.002128,0.171175,0.003082,-0.133656,-0.027195,-0.030915,-0.019818,-0.034793,-0.013774,0.007786,-0.011524,-0.005286,0.000524,
3.438333,0.002746,-0.022495,-0.002446,0.018985,-0.005673,-0.146729,-0.015115,-0.068157,-0.033983,-0.024650,-0.086528,0.009067,-0.012496,0.007946,0.000176,
3.439167,-0.000505,-0.002534,0.001524,-0.143130,-0.009913,-0.040782,-0.015588,-0.056426,-0.010554,-0.019421,-0.136960,0.005258,-0.016230,-0.006136,0.002263,
3.440000,0.003409,0.011628,-0.001220,0.264906,-0.004754,0.009005,-0.020226,0.037554,-0.031436,-0.032384,-0.189931,0.013603,-0.009751,0.008926,0.003432,
3.440833,-0.000005,0.038031,0.002139,0.622839,-0.008355,-0.009580,-0.020489,0.088674,-0.033581,-0.030428,-0.158305,0.018848,-0.003731,0.002165,-0.000895,
3.441667,0.001462,0.045730,-0.001063,0.746432,0.000340,-0.010020,-0.006305,0.020043,-0.031152,-0.013699,-0.063124,0.021453,-0.005335,0.001656,0.002102,
3.442500,0.000791,0.062827,0.000159,0.850236,0.001490,0.002200,0.002793,-0.069604,-0.023515,-0.031321,0.017345,0.013182,-0.005550,0.001600,-0.001766,
3.443333,-0.001405,0.094222,0.001228,0.952497,0.001038,0.012289,-0.006621,-0.023091,-0.035676,-0.006835,0.069995,-0.006571,-0.006658,-0.003652,0.001846,
3.444167,0.001131,0.108802,-0.001519,0.821765,0.017134,0.003326,-0.000210,0.061168,-0.015590,0.013085,0.084766,-0.006674,0.004777,0.008636,-0.001863,
3.445000,-0.001822,0.029512,0.000769,0.321598,0.029322,0.017902,0.011958,0.086893,0.030343,0.012894,0.054499,-0.006655,0.001756,-0.009298,0.000996,
3.445833,0.002250,-0.044314,-0.002285,0.096156,0.027365,0.020486,0.013866,0.092839,0.051158,0.029081,0.007585,0.000204,0.007478,0.009225,0.000351,
