Time(sec),PM,AM,AL,PL,GON,GRF
0.273333,21.780734,18.273271,9.812096,14.481744,5.446024,0.154118
0.281667,21.90666,18.290671,9.265506,14.291088,5.444632,0.154808
0.29,21.834841,18.696148,8.61619,14.291241,5.463586,0.155209
0.298333,21.92,18.98,8.56,14.49,5.479,0.155
0.306667,22.489994,18.562519,9.149581,14.568715,5.469589,0.154321
0.315,22.901403,18.249976,9.081936,14.407378,5.470016,0.153886
0.323333,22.850039,18.386153,8.252132,14.140513,5.485477,0.153945
0.331667,22.707549,18.413299,8.205321,14.110182,5.474964,0.154053
0.34,22.737417,18.413848,8.529577,14.257668,5.459586,0.153963
0.348333,23.046587,18.663725,8.172974,14.355156,5.473992,0.153826
0.356667,23.610916,18.813666,7.802374,14.431909,5.483937,0.154295
0.365,24.125139,18.764475,7.796352,14.509668,5.473336,0.154987
0.373333,24.104889,18.785165,7.876603,14.553072,5.461782,0.154499
0.381667,24.11311,18.720431,7.89588,14.517028,5.469212,0.154013
0.39,24.641606,18.444328,7.804368,14.40208,5.493493,0.154708
0.398333,24.988148,18.328149,7.622438,14.321396,5.484415,0.155167
0.406667,25.068794,18.379027,7.429599,14.294655,5.45933,0.155031
0.415,25.370037,18.299345,7.345076,14.270471,5.479146,0.154978
0.423333,25.994332,18.065198,7.499714,14.305005,5.498554,0.154996
0.431667,26.54169,17.875949,7.795689,14.410691,5.480569,0.154979
0.44,26.280283,18.026184,7.836646,14.479131,5.466874,0.155093
0.448333,25.99,18.31,7.66,14.55,5.466,0.155
0.456667,26.811451,18.334431,7.511644,14.690534,5.465482,0.154343
0.465,27.502907,18.226782,7.332636,14.689445,5.466978,0.153979
0.473333,27.282419,18.225071,7.193795,14.577256,5.470181,0.154097
0.481667,27.016512,18.501958,7.44745,14.827681,5.467479,0.153492
0.49,26.968133,18.813916,7.804878,15.195783,5.47233,0.153023
0.498333,26.95102,18.829913,7.775843,15.185363,5.4968,0.15414
0.506667,27.005597,18.82998,7.68298,15.15497,5.502196,0.155409
0.515,27.179948,18.849731,7.70335,15.220506,5.482441,0.155923
0.523333,27.457353,18.526396,7.63483,15.022876,5.481149,0.156142
0.531667,27.683463,18.224714,7.458683,14.780757,5.487909,0.155911
0.54,27.716284,18.267959,7.307337,14.754216,5.479175,0.155183
0.548333,27.629735,17.861941,7.389891,14.479288,5.477796,0.155128
0.556667,27.483894,17.134279,7.702201,14.05623,5.48577,0.15593
0.565,27.313884,17.079045,8.024057,14.108679,5.481796,0.156664
0.573333,27.279518,17.252989,8.237101,14.311399,5.47585,0.157019
0.581667,27.434872,17.100957,8.267344,14.252954,5.482426,0.157018
0.59,27.455765,17.042503,8.093942,14.146361,5.49867,0.156997
0.598333,27.293822,17.235354,8.026645,14.220782,5.508357,0.157005
0.606667,27.088917,17.558107,8.440116,14.577938,5.494831,0.156944
0.615,26.826951,17.850825,8.920859,14.925855,5.476337,0.157096
0.623333,26.607702,18.064495,9.053001,15.081144,5.473396,0.157691
0.631667,26.763367,18.327104,8.901647,15.24745,5.488883,0.158597
0.64,27.112065,18.503237,8.94829,15.479245,5.50925,0.158981
0.648333,27.215424,18.425803,9.56865,15.701458,5.515074,0.158269
0.656667,26.998322,18.434314,9.996599,15.833279,5.500965,0.158131
0.665,26.714997,18.611519,9.81671,15.824303,5.476735,0.158952
0.673333,26.910286,18.528767,9.606414,15.720039,5.468972,0.158566
0.681667,27.074035,18.530183,9.78882,15.833983,5.471008,0.158005
0.69,26.612028,19.022661,10.450189,16.366684,5.470861,0.158733
0.698333,26.176053,19.463695,10.880727,16.766948,5.486742,0.15883
0.706667,26.171517,19.577098,10.89767,16.849142,5.507539,0.158057
0.715,26.412004,19.570961,11.010033,16.944165,5.493352,0.158381
0.723333,26.421338,19.510471,11.3484,17.047001,5.472431,0.159113
0.731667,26.045151,19.487689,11.742678,17.113998,5.477733,0.159129
0.74,25.984786,19.783253,11.812327,17.341829,5.489468,0.158925
0.748333,26.28,20.24,11.8,17.73,5.497,0.159
0.756667,26.302934,20.334212,12.282244,18.007439,5.504794,0.159544
0.765,26.279562,20.204551,12.216198,17.881688,5.506528,0.16039
0.773333,26.36705,20.093872,11.546163,17.536141,5.502085,0.161003
0.781667,26.390116,20.145014,11.727228,17.64746,5.501316,0.16063
0.79,26.350919,20.257926,12.470496,18.030333,5.503933,0.160005
0.798333,26.358804,20.203872,12.598617,18.056325,5.502251,0.160455
0.806667,26.39398,19.92007,12.62491,17.875438,5.489001,0.161326
0.815,26.426573,19.597598,12.848926,17.739848,5.470995,0.161887
0.823333,26.455624,19.646831,12.729791,17.734681,5.471597,0.162053
0.831667,26.385293,19.74257,12.742748,17.798218,5.490445,0.161986
0.84,26.157672,19.545277,13.434529,17.888777,5.50588,0.16196
0.848333,25.981183,20.023206,13.574296,18.244639,5.493346,0.162113
0.856667,25.896506,20.960485,13.104081,18.701303,5.470409,0.162089
0.865,25.799517,21.241437,12.979116,18.832028,5.479582,0.161378
0.873333,25.712802,21.04695,13.341373,18.827794,5.504381,0.161036
0.881667,25.699248,20.965947,13.887364,18.995966,5.512106,0.161813
0.89,25.762978,21.070507,14.15181,19.195513,5.500249,0.161764
0.898333,25.766094,21.354606,14.175153,19.409299,5.481295,0.161024
0.906667,25.510145,21.786228,14.364005,19.740605,5.473146,0.161529
0.915,25.237098,22.031238,14.354291,19.850386,5.469113,0.161964
0.923333,25.153614,21.969931,14.075408,19.668826,5.466117,0.161179
0.931667,25.064502,22.017956,14.400405,19.8172,5.482538,0.160783
0.94,24.851926,22.174787,14.911423,20.095317,5.501678,0.160988
0.948333,24.507337,22.243052,14.822261,20.031463,5.498344,0.161186
0.956667,24.254425,22.197154,14.815558,19.941432,5.493161,0.160809
0.965,24.264527,22.088239,15.26379,20.054156,5.496016,0.160065
0.973333,24.466216,22.008075,15.347388,20.075524,5.479983,0.160325
0.981667,24.463084,21.963502,15.17307,19.970483,5.468687,0.161091
0.99,24.018805,21.922156,15.23472,19.871705,5.487383,0.16121
0.998333,23.70023,21.880212,15.509834,19.884486,5.490782,0.160682
1.006667,23.713485,21.867883,15.711378,19.957772,5.470425,0.160031
1.015,23.777783,21.890434,15.513928,19.907465,5.461858,0.159931
1.023333,23.72308,21.668488,15.38077,19.683975,5.469584,0.159992
1.031667,23.561482,21.119472,15.665112,19.371811,5.486403,0.159873
1.04,23.678789,20.948559,15.723498,19.297003,5.501983,0.160299
1.048333,24.007749,21.419404,15.420046,19.579828,5.503483,0.16098
1.056667,24.009845,22.092867,15.325477,20.024196,5.482499,0.160581
1.065,23.902178,22.369938,15.513266,20.278074,5.468899,0.159783
1.073333,23.939429,22.084338,15.831067,20.213816,5.478467,0.159277
1.081667,23.98697,21.819398,16.078403,20.135731,5.483264,0.158606
1.09,23.977872,21.827958,16.136852,20.164132,5.475216,0.157972
1.098333,23.949264,21.96465,16.028005,20.215448,5.467816,0.157944
1.106667,23.960184,22.012179,15.957266,20.225795,5.47173,0.157973
1.115,23.994393,21.91862,16.051047,20.203258,5.483584,0.157855
1.123333,23.897195,21.935324,16.227142,20.264616,5.477796,0.158353
1.131667,23.572377,22.009035,16.297329,20.274294,5.46826,0.159006
1.14,23.081837,21.875228,16.128263,19.999632,5.49123,0.15855
1.148333,22.773197,21.760523,16.086869,19.832964,5.508286,0.157738
1.156667,22.781754,21.810042,16.309262,19.964607,5.499354,0.157201
1.165,22.851945,21.892119,16.451517,20.098909,5.494184,0.156736
1.173333,22.833573,21.937199,16.428869,20.116941,5.500543,0.156297
1.181667,22.6931,21.947598,16.41126,20.084067,5.503991,0.156025
1.19,22.405039,21.930559,16.568124,20.070781,5.490154,0.156054
1.198333,22.077317,21.974362,16.79849,20.122391,5.469044,0.156113
1.206667,21.952306,22.206376,16.735637,20.231203,5.475259,0.155554
1.215,22.004594,22.048315,16.641175,20.087492,5.494655,0.154937
1.223333,22.098771,21.161177,16.840869,19.555226,5.49541,0.154977
1.231667,22.26238,20.733815,16.851346,19.290118,5.483576,0.154916
1.24,22.344014,20.891222,16.58914,19.312767,5.471193,0.154927
1.248333,22.132002,20.970936,16.324394,19.213767,5.46932,0.155677
1.256667,21.929976,20.958727,16.301805,19.151298,5.478996,0.155928
1.265,21.944809,20.962023,16.452961,19.219867,5.490279,0.155216
1.273333,21.994056,20.90125,16.360342,19.149727,5.48564,0.154974
1.281667,22.008154,20.722212,16.249557,18.979992,5.470317,0.155067
1.29,22.023958,20.438173,16.664225,18.95282,5.464748,0.154369
1.298333,22.073564,20.336054,16.726748,18.916693,5.469155,0.15406
1.306667,22.185968,20.382251,16.103396,18.714842,5.472981,0.1548
1.315,22.37812,19.986692,16.045885,18.445953,5.466269,0.155107
1.323333,22.529255,19.484845,16.384535,18.25689,5.470392,0.155
1.331667,22.529404,19.462832,16.3589,18.232012,5.500127,0.155088
1.34,22.531787,19.525976,16.243103,18.232869,5.499347,0.154765
1.348333,22.539318,19.450336,16.144597,18.139972,5.471168,0.154062
1.356667,22.398584,19.402109,15.864963,17.953963,5.484682,0.153841
1.365,22.371727,19.494577,15.784838,17.979421,5.5087,0.154019
1.373333,22.619165,19.72919,16.163963,18.365206,5.500782,0.154109
1.381667,22.564404,19.860188,16.276056,18.492398,5.497444,0.153569
1.39,22.312898,19.846538,16.11054,18.352307,5.504627,0.153
1.398333,22.444879,19.812301,16.172398,18.384304,5.500192,0.153488
1.406667,22.857092,19.800039,16.171046,18.47014,5.489674,0.153997
1.415,23.236427,19.823545,15.717046,18.379965,5.484725,0.153335
1.423333,23.512811,19.911724,15.195064,18.282734,5.479125,0.152711
1.431667,23.686438,20.044459,14.83055,18.261666,5.471995,0.152688
1.44,23.77018,20.160691,14.590294,18.26379,5.469734,0.152909
1.448333,23.777395,20.19837,14.43433,18.232668,5.478915,0.15299
1.456667,23.851842,20.145854,14.238239,18.137673,5.497802,0.152909
1.465,24.416045,20.118186,13.679488,18.008761,5.50337,0.153487
1.473333,24.995545,20.093037,12.822186,17.757961,5.490843,0.154
1.481667,25.044557,19.912285,11.966899,17.287079,5.473815,0.153431
1.49,25.471629,19.324935,11.330619,16.69631,5.478248,0.152935
1.498333,26.51129,18.511346,10.865087,16.144342,5.503664,0.153006
1.506667,27.102467,18.206248,10.208535,15.786351,5.511487,0.152668
1.515,27.197965,18.255342,9.475504,15.540526,5.504315,0.151937
1.523333,27.252162,18.234477,8.845032,15.268644,5.49717,0.151241
1.531667,27.998856,17.944587,8.127825,14.926761,5.493262,0.150998
1.54,29.297304,17.5327,7.479123,14.657496,5.490024,0.151043
1.548333,29.655296,17.556403,7.593234,14.798692,5.481005,0.150449
1.556667,29.455317,17.781855,7.889801,15.032474,5.473993,0.149946
1.565,29.590582,17.885679,7.777188,15.089909,5.475999,0.150059
1.573333,30.36957,17.984776,7.608278,15.268174,5.48189,0.149719
1.581667,31.239265,18.049034,7.668215,15.537134,5.48389,0.14898
1.59,31.323529,17.935205,7.926205,15.582814,5.479745,0.148861
1.598333,31.558595,17.811908,7.84895,15.513964,5.491711,0.149035
1.606667,32.484241,17.81397,7.338781,15.508451,5.522553,0.149047
1.615,33.132984,17.872843,7.268227,15.665052,5.52991,0.148788
1.623333,33.53,17.97,7.31,15.84,5.518,0.148
1.631667,34.190816,18.042724,6.686361,15.779578,5.51699,0.146616
1.64,34.676028,17.685785,6.093973,15.385403,5.53034,0.145781
1.648333,34.977548,17.032483,5.938777,14.921258,5.547022,0.14589
1.656667,35.784583,16.872996,5.878636,14.966479,5.548699,0.146118
1.665,36.602497,17.023616,5.949427,15.288952,5.539087,0.145908
1.673333,36.778198,16.867142,6.221076,15.325583,5.535574,0.145259
1.681667,37.158312,16.390134,6.209018,15.061746,5.550596,0.144874
1.69,38.092058,15.944806,5.732497,14.753994,5.577561,0.144948
1.698333,39.236882,16.045061,5.023169,14.785339,5.5943,0.145096
1.706667,40.032852,16.18384,4.796777,14.968418,5.596544,0.144877
1.715,40.435247,15.87043,5.18501,14.998775,5.595198,0.144233
1.723333,41.438863,15.630493,4.905648,14.934455,5.607938,0.143801
1.731667,42.97438,15.432275,4.124201,14.805408,5.624206,0.14391
1.74,44.186521,14.858765,4.005418,14.611413,5.618461,0.144534
1.748333,45.101955,14.423702,4.007954,14.504625,5.618853,0.145215
1.756667,46.089947,14.54856,3.497968,14.605621,5.644314,0.145729
1.765,47.41285,14.911087,2.834798,14.88766,5.666023,0.146474
1.773333,49.03,15.22,2.4,15.29,5.669,0.148
1.781667,50.649,15.276044,2.345057,15.668183,5.659182,0.150507
1.79,51.979234,14.950868,2.09796,15.628462,5.665826,0.152447
1.798333,53.069865,14.556662,1.410512,15.303491,5.694397,0.152978
1.806667,54.440836,14.896479,0.817496,15.608211,5.707737,0.153018
1.815,56.045924,15.219457,0.673218,16.139637,5.706081,0.153
1.823333,57.591178,14.411833,1.007344,16.044732,5.708141,0.153004
1.831667,59.062748,13.334165,0.99576,15.600241,5.721725,0.152982
1.84,60.727141,12.724434,0.357734,15.273479,5.746646,0.152977
1.848333,62.950003,12.577862,-0.418884,15.332356,5.777472,0.153094
1.856667,65.200183,12.019229,-0.677354,15.318422,5.803209,0.152926
1.865,66.918729,10.60135,-0.25072,14.871083,5.814733,0.152248
1.873333,68.715574,10.04168,-0.339714,14.837716,5.815389,0.151972
1.881667,70.861316,10.325492,-1.061602,15.214497,5.818074,0.152021
1.89,73.100008,9.730359,-1.421461,15.137213,5.838649,0.151436
1.898333,75.273691,8.880404,-1.677318,14.906786,5.867262,0.151
1.906667,77.474008,8.633632,-2.226537,14.988774,5.890189,0.151564
1.915,80.338782,8.361367,-2.706622,15.234748,5.906207,0.152598
1.923333,83.847212,7.842409,-3.013856,15.522958,5.918526,0.153831
1.931667,87.368104,7.410591,-3.352978,15.856572,5.930843,0.155461
1.94,90.486182,7.29772,-3.771097,16.295944,5.938607,0.157884
1.948333,93.191572,7.373443,-4.186906,16.785812,5.944425,0.160825
1.956667,95.966304,7.030434,-4.425755,17.067916,5.966126,0.162898
1.965,98.784337,6.422855,-4.660419,17.16863,5.999487,0.164096
1.973333,101.215055,6.194027,-5.166202,17.333805,6.02476,0.165401
1.981667,103.206994,6.142559,-5.504513,17.597802,6.04276,0.166537
1.99,105.102806,5.907851,-5.484559,17.860497,6.058396,0.167014
1.998333,107.354251,5.236192,-5.301587,17.955807,6.075342,0.166555
2.006667,109.169442,4.49038,-5.2412,17.850889,6.089913,0.16594
2.015,110.120642,4.066068,-5.41292,17.690714,6.102974,0.165919
2.023333,111.800186,3.835502,-5.436506,17.892639,6.132068,0.166112
2.031667,113.945146,3.745363,-5.244093,18.387694,6.16718,0.16607
2.04,114.970398,3.836515,-5.061551,18.760503,6.180813,0.165522
2.048333,115.92376,3.958571,-5.065056,19.060822,6.188826,0.164959
2.056667,117.915705,4.021699,-5.231511,19.479273,6.212323,0.164918
2.065,119.023341,4.325738,-5.082841,20.007164,6.233034,0.165111
2.073333,119.402618,4.818998,-4.616717,20.645831,6.244543,0.165089
2.081667,121.055885,5.131041,-4.260892,21.395734,6.25699,0.164492
2.09,122.674687,5.247178,-4.045828,21.93275,6.284048,0.163844
2.098333,123.006957,5.484126,-3.795208,22.276108,6.323778,0.163861
2.106667,123.400572,6.266805,-3.376213,23.099271,6.349878,0.164687
2.115,123.593348,6.932971,-3.035807,23.765402,6.361639,0.165025
2.123333,122.808342,6.684453,-3.025893,23.417739,6.370532,0.163496
2.131667,122.141622,6.599894,-2.769915,23.316634,6.379597,0.161526
2.14,121.949985,7.295864,-1.99775,24.096645,6.390307,0.160296
2.148333,120.545234,7.723425,-1.341065,24.359897,6.405706,0.159133
2.156667,118.245716,7.759252,-0.877349,24.062904,6.429598,0.157211
2.165,116.312035,7.847637,-0.325298,23.93146,6.46339,0.154239
2.173333,114.463947,8.16325,0.539219,24.107571,6.494866,0.152436
2.181667,112.669079,8.624522,1.304651,24.3509,6.514928,0.152049
2.19,111.555673,9.006898,1.202697,24.333401,6.525092,0.150967
2.198333,111.128023,9.265043,0.963987,24.324647,6.540823,0.149934
2.206667,111.1146,9.571784,1.405618,24.723729,6.568496,0.149925
2.215,111.075856,10.511012,2.223653,25.730984,6.578161,0.149938
2.223333,111.06,11.7,2.86,26.85,6.572,0.15
2.231667,111.499168,12.002448,2.907934,27.185226,6.586777,0.151145
2.24,111.965313,12.080322,2.839838,27.314226,6.619222,0.152083
2.248333,112.194507,12.590127,3.178327,27.870791,6.651427,0.151983
2.256667,112.746536,13.14764,4.038951,28.756607,6.658533,0.152303
2.265,113.406176,13.527697,4.937354,29.558386,6.655574,0.15299
2.273333,113.474735,13.874039,5.174603,29.925678,6.682834,0.15283
2.281667,113.856892,14.711563,5.409794,30.711323,6.720098,0.153172
2.29,115.067862,15.948313,6.232478,32.212036,6.738915,0.15471
2.298333,115.687894,15.985631,7.115491,32.747291,6.736306,0.155055
2.306667,115.820087,15.800404,7.630053,32.861162,6.735447,0.155028
2.315,116.243412,17.0397,7.731476,33.888527,6.760134,0.156589
2.323333,116.481069,18.101074,8.190845,34.897816,6.791781,0.158318
2.331667,116.108823,18.222258,9.303548,35.370662,6.813475,0.158959
2.34,115.385518,19.357587,10.189341,36.393197,6.829395,0.159043
2.348333,114.767747,20.797158,10.819476,37.548534,6.838248,0.158988
2.356667,114.567658,21.476011,11.395957,38.23239,6.842115,0.158978
2.365,114.696393,22.312567,11.693473,38.993083,6.856462,0.159028
2.373333,114.846697,23.705404,11.828548,40.09149,6.878448,0.159031
2.381667,114.624945,25.182745,12.295216,41.295374,6.885483,0.158856
2.39,114.584013,26.370803,12.909667,42.392066,6.884055,0.159141
2.398333,115.194888,27.207056,13.337941,43.312362,6.889008,0.160291
2.406667,115.694466,28.14691,13.695358,44.249533,6.899964,0.161346
2.415,115.869917,29.231658,14.120319,45.242006,6.916218,0.161974
2.423333,116.251409,30.055853,14.645447,46.141913,6.938593,0.16268
2.431667,116.574886,30.99213,15.050849,47.060193,6.96447,0.163095
2.44,116.801128,32.210547,15.203833,48.050531,6.983527,0.163049
2.448333,117.429329,33.334879,15.184143,48.991843,6.979214,0.162968
2.456667,117.926337,34.2691,15.181584,49.776622,6.972197,0.162996
2.465,117.366061,35.161652,15.391183,50.384131,6.99805,0.163026
2.473333,116.957469,36.151123,15.666677,51.118891,7.022392,0.162941
2.481667,117.389004,37.021748,15.941055,51.952186,7.027557,0.162917
2.49,118.077574,37.279634,16.32608,52.451146,7.035338,0.163371
2.498333,118.53,37.46,16.7,52.84,7.044,0.164
2.506667,118.468605,38.469854,16.852105,53.617699,7.042656,0.164166
2.515,118.096804,40.092234,16.819923,54.686081,7.046505,0.163749
2.523333,117.558703,41.393461,16.735599,55.46239,7.058037,0.163068
2.531667,116.844005,41.323307,16.733756,55.250925,7.06232,0.162621
2.54,116.257657,41.069722,16.748566,54.946672,7.073772,0.161914
2.548333,115.968323,41.893806,16.699277,55.457551,7.104861,0.160565
2.556667,115.375435,42.784698,16.680569,55.956635,7.128586,0.159631
2.565,114.310536,43.231836,16.712971,56.050274,7.132949,0.159188
2.573333,113.15718,43.621294,16.734195,56.084789,7.127975,0.158219
2.581667,112.254465,44.271919,16.882347,56.416831,7.126586,0.15676
2.59,111.692882,45.171178,17.273167,57.097563,7.136522,0.155407
2.598333,111.05823,45.680981,17.687243,57.490946,7.150143,0.154577
2.606667,110.224793,45.957058,17.935137,57.606638,7.163541,0.15397
2.615,109.399301,46.584181,17.940274,57.879135,7.176536,0.153163
2.623333,108.95755,47.2411,17.807964,58.199471,7.185582,0.153165
2.631667,108.917202,47.879534,17.936543,58.700879,7.192142,0.15393
2.64,108.788517,49.012988,18.91521,59.893371,7.204314,0.153821
2.648333,108.51,50.24,20.06,61.19,7.218,0.154
2.656667,108.193966,50.924522,20.490305,61.790601,7.22626,0.155935
2.665,107.802671,51.226874,20.860042,62.076321,7.233715,0.157083
2.673333,107.350423,51.476576,21.549178,62.444081,7.242435,0.15623
2.681667,106.98137,51.939581,21.977464,62.869093,7.246821,0.155702
2.69,106.726847,52.754475,22.319568,63.537588,7.249865,0.156152
2.698333,106.586694,53.878958,22.949444,64.581563,7.257708,0.157279
2.706667,106.62873,55.007117,23.739522,65.734393,7.272557,0.158885
2.715,106.885402,55.873533,24.548521,66.754338,7.285765,0.160909
2.723333,107.303892,56.378013,25.287888,67.527879,7.286526,0.163312
2.731667,107.638322,56.839247,25.876472,68.183092,7.298063,0.16559
2.74,107.669432,57.570565,26.480682,68.96075,7.327084,0.167327
2.748333,107.335567,58.653274,27.669637,70.160533,7.335071,0.168481
2.756667,106.919562,59.842653,29.072929,71.516518,7.324874,0.169008
2.765,106.795715,60.665511,29.6995,72.344239,7.333567,0.168983
2.773333,106.450557,60.957917,29.988589,72.592606,7.34917,0.169073
2.781667,105.56422,60.857941,30.470755,72.515416,7.358335,0.169647
2.79,104.589081,60.950061,31.20037,72.667683,7.367461,0.170201
2.798333,103.58,61.45,32.09,73.18,7.376,0.17
2.806667,102.205805,62.080508,32.943984,73.685872,7.378354,0.168664
2.815,100.84535,62.54865,33.533931,73.963416,7.390844,0.167773
2.823333,99.72577,62.671564,33.792988,73.90661,7.408924,0.16742
2.831667,98.690655,62.417396,33.860382,73.518276,7.401528,0.165635
2.84,97.743613,62.07964,33.983858,73.111587,7.396333,0.163806
2.848333,96.95283,61.958395,34.344561,72.992924,7.423877,0.163884
2.856667,96.250917,61.890038,34.830604,72.993113,7.431223,0.163813
2.865,95.560602,61.863618,35.404207,73.067568,7.418707,0.163105
2.873333,94.841671,62.046094,36.068414,73.312844,7.43917,0.163064
2.881667,94.327133,62.338825,36.184645,73.45173,7.458986,0.162777
2.89,94.126226,62.527451,35.601162,73.301615,7.445394,0.161451
2.898333,93.87688,62.497782,35.588903,73.220686,7.451968,0.160703
2.906667,93.530632,62.662516,36.085308,73.468583,7.479897,0.160911
2.915,93.305168,63.612786,36.12178,74.121047,7.489892,0.161425
2.923333,93.311076,64.333469,36.466919,74.784529,7.493629,0.162467
2.931667,93.441723,64.208409,37.430457,75.118651,7.503646,0.163758
2.94,93.373113,64.208505,37.614493,75.181257,7.501179,0.163816
2.948333,93.197149,64.616573,37.430099,75.365372,7.489499,0.163065
2.956667,93.301549,65.062978,38.588923,76.190043,7.49047,0.163364
2.965,93.451355,65.53068,39.78687,77.054016,7.506045,0.164255
2.973333,93.374033,65.965573,39.805029,77.358314,7.524823,0.164861
2.981667,93.235384,66.043823,39.92213,77.434271,7.531899,0.165479
2.99,93.132752,66.191127,40.666663,77.828911,7.524544,0.165987
2.998333,93.014633,66.849606,41.85888,78.775298,7.510547,0.166083
3.006667,92.44383,66.844192,42.407236,78.875627,7.5152,0.165864
3.015,91.679352,66.064941,42.118107,78.025635,7.538236,0.165853
3.023333,91.615885,65.7276,41.857571,77.657158,7.552317,0.166744
3.031667,91.843702,65.77369,42.050355,77.817145,7.550655,0.167932
3.04,91.538749,65.595594,42.69468,77.889446,7.539627,0.168265
3.048333,91.517478,65.549132,43.035466,77.994751,7.530851,0.167541
3.056667,92.125002,65.738968,43.08652,78.28978,7.533202,0.166968
3.065,92.695877,65.755771,43.666423,78.674639,7.547387,0.168176
3.073333,92.770503,65.583156,44.273798,78.822347,7.555985,0.16896
3.081667,92.243884,65.327139,44.43211,78.584382,7.548747,0.167517
3.09,91.725843,65.061589,44.832596,78.442523,7.54887,0.166368
3.098333,91.39,64.85,45.04,78.3,7.557,0.166
3.106667,91.023985,64.717159,44.211152,77.774116,7.559201,0.165269
3.115,90.285701,64.545314,43.219964,77.07243,7.554691,0.16356
3.123333,89.139685,64.234058,42.886327,76.457679,7.547979,0.161336
3.131667,88.237937,63.799894,42.947785,75.969561,7.546321,0.160769
3.14,87.770923,63.263383,43.031226,75.509952,7.544262,0.161009
3.148333,87.549887,62.671336,42.900782,74.976438,7.533955,0.16013
3.156667,86.948407,62.215892,42.857437,74.494297,7.526724,0.158819
3.165,85.786168,62.117574,43.290623,74.344503,7.531147,0.158092
3.173333,85.152144,62.515455,44.342068,74.928728,7.5364,0.157932
3.181667,84.881377,63.06277,45.257421,75.646238,7.538061,0.158013
3.19,84.394545,63.384603,45.404365,75.833335,7.537192,0.158035
3.198333,84.112713,63.703907,45.655404,76.10354,7.535253,0.157968
3.206667,83.98194,64.269452,46.397817,76.787592,7.531496,0.157983
3.215,83.231438,65.127285,47.063164,77.519116,7.522672,0.158397
3.223333,82.014794,65.77457,47.424402,77.867524,7.509197,0.159089
3.231667,80.668677,65.880917,47.583129,77.704657,7.497545,0.159779
3.24,79.1724,66.04646,48.134945,77.715527,7.505586,0.160155
3.248333,77.705039,66.42701,48.858634,77.962459,7.516719,0.160048
3.256667,76.546074,66.708271,49.007406,77.965774,7.495745,0.159485
3.265,75.262249,66.865465,49.265139,77.900672,7.480307,0.158913
3.273333,73.848171,66.950523,49.911317,77.920973,7.495871,0.15884
3.281667,73.674258,66.937532,49.353289,77.637348,7.487183,0.159559
3.29,74.340705,66.724746,48.177712,77.137824,7.456022,0.160937
3.298333,74.479656,66.26952,48.056287,76.797016,7.442883,0.162449
3.306667,74.495118,65.985538,47.940581,76.550877,7.449021,0.163094
3.315,74.856374,65.819801,47.261887,76.221354,7.454398,0.162976
3.323333,75.41808,65.115999,46.931537,75.695318,7.43368,0.1635
3.331667,75.758845,64.310506,46.907758,75.182507,7.411033,0.164022
3.34,75.598356,63.970647,46.823209,74.875225,7.409979,0.163591
3.348333,75.242771,63.846214,46.558853,74.599336,7.402703,0.16264
3.356667,74.901337,63.546946,46.013976,74.075274,7.38517,0.161997
