---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-leftlegtd-2dofstj.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarEversion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile2a.SubTalarRotation
5.190483870967736e+000 3.832053917192736e-001 2.522620218291407e-001 -1.305525186546392e-001 1.263755507596219e-001 -9.065767869632198e-002 1.314781172676929e-001 -4.991559755986130e-002
5.198602150537628e+000 3.852393078691568e-001 2.477860336147553e-001 -1.344989342378473e-001 1.372075714747743e-001 -9.742013507751357e-002 1.298968343098672e-001 -3.771482366733880e-002
5.206720430107520e+000 3.896058732471939e-001 2.422801324117547e-001 -1.363813512069072e-001 1.520197204645291e-001 -9.827503636457373e-002 1.279428886752939e-001 -2.558663058596933e-002
5.214838709677412e+000 3.954992808835655e-001 2.362512868763260e-001 -1.358459542371192e-001 1.699653843703254e-001 -9.392196657185981e-002 1.256748409676468e-001 -1.520167921834337e-002
5.222956989247304e+000 4.017750496346220e-001 2.303296939646335e-001 -1.329133865838879e-001 1.895634666853026e-001 -8.572998128187680e-002 1.234277395438000e-001 -7.301885004713959e-003
5.231075268817197e+000 4.072201629777282e-001 2.250488434949514e-001 -1.279239952341100e-001 2.090520751664225e-001 -7.523610820208143e-002 1.216163999354938e-001 -1.713039140378347e-003
5.239193548387089e+000 4.108319544585397e-001 2.206690739993114e-001 -1.213568988322214e-001 2.267678014743802e-001 -6.377216606409646e-002 1.206535651734157e-001 2.247748122171211e-003
5.247311827956981e+000 4.120158280681244e-001 2.171248703234465e-001 -1.136838243695755e-001 2.414440524341415e-001 -5.228593939969797e-002 1.208861792835044e-001 5.363054221852126e-003
5.255430107526873e+000 4.106530573975921e-001 2.140841372822402e-001 -1.053261078537845e-001 2.523651689745897e-001 -4.133677945405905e-002 1.225207335726842e-001 8.294833101266663e-003
5.263548387096765e+000 4.070405959495164e-001 2.110821291561080e-001 -9.665112188682663e-002 2.593654586238389e-001 -3.120281424167009e-002 1.255722736778716e-001 1.151072305334644e-002
5.271666666666658e+000 4.017381440855889e-001 2.076782609469134e-001 -8.795441114113592e-002 2.627198444332313e-001 -2.201309153191898e-002 1.298657247886005e-001 1.526636838823992e-002
5.279784946236550e+000 3.953747647213107e-001 2.035800930896712e-001 -7.944421447455770e-002 2.629920029856626e-001 -1.383149368958061e-002 1.350845744445213e-001 1.961183781732467e-002
5.287903225806442e+000 3.884733098717496e-001 1.987160032647934e-001 -7.124057948839613e-002 2.608793292460387e-001 -6.671900390291134e-003 1.408287322031836e-001 2.442623446976255e-002
5.296021505376334e+000 3.813412355547082e-001 1.932489021634642e-001 -6.337777437733015e-002 2.570742950657284e-001 -4.777900277330203e-004 1.466597763822346e-001 2.947947250437855e-002
5.304139784946226e+000 3.740526869992590e-001 1.875075133819624e-001 -5.582134124654360e-002 2.521677317708114e-001 4.886455566931068e-003 1.521511568334986e-001 3.451117795562331e-002
5.312258064516119e+000 3.665146556214194e-001 1.818527393920497e-001 -4.851340637601456e-002 2.466135980467290e-001 9.610229826741441e-003 1.569520778462775e-001 3.930677259855453e-002
5.320376344086011e+000 3.585765087681794e-001 1.765513723985572e-001 -4.142009747353999e-002 2.407390163632031e-001 1.388643123136585e-002 1.608443278657916e-001 4.374385345978227e-002
5.328494623655903e+000 3.501225553647777e-001 1.717115805733001e-001 -3.454686612523004e-002 2.347613172944227e-001 1.786569107796185e-002 1.637687257932749e-001 4.780110986432429e-002
5.336612903225795e+000 3.411101263742717e-001 1.672825475493436e-001 -2.792220095502192e-002 2.287999718965150e-001 2.164397887097307e-002 1.658145621965463e-001 5.154387367587088e-002
5.344731182795687e+000 3.315725580277311e-001 1.630956158260704e-001 -2.157187485749819e-002 2.229031935187081e-001 2.528475700038328e-002 1.671841935468255e-001 5.509671215185530e-002
5.352849462365580e+000 3.216235525870794e-001 1.589282198246997e-001 -1.549462847436996e-002 2.170918920550105e-001 2.884356381231250e-002 1.681513449183873e-001 5.860781564629436e-002
5.360967741935472e+000 3.114606130395853e-001 1.545835766524228e-001 -9.639274634845495e-003 2.113886044165540e-001 3.237096353091304e-002 1.690207588099580e-001 6.221416021094739e-002
5.369086021505364e+000 3.013496631021442e-001 1.499696034508444e-001 -3.897067121992980e-003 2.058168361555145e-001 3.589790845197383e-002 1.700830012560836e-001 6.600588338471813e-002
5.377204301075256e+000 2.915899713642789e-001 1.451375366650940e-001 1.878049562328764e-003 2.004018932471596e-001 3.942259845333555e-002 1.715578749812515e-001 6.998183341439890e-002
5.385322580645148e+000 2.824539017529742e-001 1.402562223429797e-001 7.838258563438663e-003 1.951873579701927e-001 4.291117785479229e-002 1.735430072416452e-001 7.401841016099486e-002
5.393440860215041e+000 2.741014354044606e-001 1.355484430378819e-001 1.411529153080474e-002 1.902348968525045e-001 4.631528786621086e-002 1.759991905474524e-001 7.789923818566980e-002
5.401559139784933e+000 2.665156605742728e-001 1.312303592583186e-001 2.079391441206355e-002 1.855964837380611e-001 4.959598866503872e-002 1.787786896838447e-001 8.140495729310082e-002
5.409677419354825e+000 2.595190000196834e-001 1.274654530488042e-001 2.789297053302359e-002 1.812917340628498e-001 5.273700855916128e-002 1.816742055677806e-001 8.439657283219559e-002
5.417795698924717e+000 2.528680618016869e-001 1.243314055861939e-001 3.536772689549950e-002 1.773062032417298e-001 5.574239391673039e-002 1.844743961718688e-001 8.684308100469762e-002
5.425913978494609e+000 2.463599272179859e-001 1.218098460400146e-001 4.312795370402525e-002 1.735986627444051e-001 5.862469487467305e-002 1.870228642338601e-001 8.880177776635811e-002
5.434032258064502e+000 2.398822819855823e-001 1.198101539208374e-001 5.106341212812077e-002 1.701124085571101e-001 6.139245442742353e-002 1.892582490937288e-001 9.037759529709133e-002
5.442150537634394e+000 2.333910954908512e-001 1.182144868994171e-001 5.907145231330874e-002 1.667872959662229e-001 6.404758619207697e-002 1.912061691719075e-001 9.168759649784608e-002
5.450268817204286e+000 2.268623666422241e-001 1.169053893201604e-001 6.707130387806154e-002 1.635664969075777e-001 6.659378837659000e-002 1.929350683423273e-001 9.285014671943070e-002
5.458387096774178e+000 2.202763372507135e-001 1.157672965579899e-001 7.500730748969113e-002 1.604028544252683e-001 6.904582805867655e-002 1.945162043019833e-001 9.398421572687155e-002
5.466505376344070e+000 2.136221007084325e-001 1.146994323960151e-001 8.286423884419794e-002 1.572642680940603e-001 7.143268110574959e-002 1.960004126906824e-001 9.519310342362641e-002
5.474623655913963e+000 2.068762062300181e-001 1.136416980273107e-001 9.067464526617118e-002 1.541295855367232e-001 7.379611412293975e-002 1.974081619542054e-001 9.654635105225307e-002
5.482741935483855e+000 1.999804743939352e-001 1.125653391456358e-001 9.846600563642893e-002 1.509785358207590e-001 7.618535330501891e-002 1.987445465437774e-001 9.809264921087024e-002
5.490860215053747e+000 1.928668768317727e-001 1.114281444115406e-001 1.061773790592305e-001 1.477815887404251e-001 7.864783986990277e-002 2.000307570462045e-001 9.990074216810352e-002
5.498978494623639e+000 1.854983984381030e-001 1.101522298609923e-001 1.136456622914889e-001 1.444910521190599e-001 8.122220997793819e-002 2.013159764716614e-001 1.020883231408052e-001
5.507096774193531e+000 1.778752022909231e-001 1.086422517625358e-001 1.206746399224274e-001 1.410423364515868e-001 8.393674465732275e-002 2.026621796792540e-001 1.048107274734116e-001
5.515215053763424e+000 1.700221619697543e-001 1.068011031368252e-001 1.271063731065194e-001 1.373718887177077e-001 8.680715426294708e-002 2.041283207586923e-001 1.082158806066798e-001
5.523333333333316e+000 1.620007940533132e-001 1.045251230022350e-001 1.328592918838831e-001 1.334455707614257e-001 8.982919866601737e-002 2.057657542681201e-001 1.123768563588168e-001
5.531451612903208e+000 1.539513856096553e-001 1.017254812776343e-001 1.379702310715867e-001 1.292936232746591e-001 9.297294234032857e-002 2.076057954223546e-001 1.171990235733240e-001
5.539569892473100e+000 1.461133952277481e-001 9.839396530640654e-002 1.426514740638472e-001 1.250375844482492e-001 9.619089476039150e-002 2.096315556007182e-001 1.223466663270125e-001
5.547688172042992e+000 1.387429434630962e-001 9.463630657645550e-002 1.472782387816475e-001 1.208621454536795e-001 9.944221556551568e-002 2.117692073519489e-001 1.273149876646658e-001
5.555806451612884e+000 1.319562120585837e-001 9.061754952260248e-002 1.522362398636503e-001 1.169267298143945e-001 1.027148845264380e-001 2.139211393042573e-001 1.316674438705450e-001
5.563924731182777e+000 1.256724645641521e-001 8.648271220239945e-002 1.577215583089560e-001 1.133064508701853e-001 1.060219826259130e-001 2.160005141657648e-001 1.352347642841028e-001
5.572043010752669e+000 1.197399272131433e-001 8.233106031121995e-002 1.636523135514531e-001 1.100275298894559e-001 1.093760989024867e-001 2.179304803329599e-001 1.381084853113448e-001
5.580161290322561e+000 1.141168625557271e-001 7.823446372534848e-002 1.697376087014394e-001 1.071442259517859e-001 1.127724558293389e-001 2.196336927271022e-001 1.405012240942334e-001
5.588279569892453e+000 1.089331947505342e-001 7.425089993169753e-002 1.756338279054842e-001 1.047636328674698e-001 1.161995200229825e-001 2.210434887911927e-001 1.426242866108156e-001
5.596397849462345e+000 1.043869653066378e-001 7.041352491483122e-002 1.810881449639822e-001 1.029893539135343e-001 1.196616067975059e-001 2.221280569880400e-001 1.446369935313816e-001
5.604516129032238e+000 1.005884893347395e-001 6.670733199928658e-002 1.860023792676031e-001 1.018445608004147e-001 1.231870995421222e-001 2.229061547679027e-001 1.466470438389411e-001
5.612634408602130e+000 9.748390885679260e-002 6.305818849868317e-002 1.904173404987559e-001 1.012490716965033e-001 1.268098614658001e-001 2.234423805015645e-001 1.487306423472687e-001
5.620752688172022e+000 9.487121141907957e-002 5.935347001523050e-002 1.944551947700048e-001 1.010485761558762e-001 1.305375095104142e-001 2.238221484500560e-001 1.509509002563840e-001
5.628870967741914e+000 9.246095932862750e-002 5.548630344458427e-002 1.982456281568124e-001 1.010499961551957e-001 1.343420180000407e-001 2.241230072197703e-001 1.533664634186804e-001
5.636989247311806e+000 8.996727304613106e-002 5.138981252624109e-002 2.018508602950397e-001 1.010566554224732e-001 1.381837608508116e-001 2.244072995678177e-001 1.560284191123398e-001
5.645107526881699e+000 8.720798119400773e-002 4.703732523207060e-002 2.052188804743859e-001 1.009166061547906e-001 1.420373266007118e-001 2.247384621899808e-001 1.589651300337858e-001
5.653225806451591e+000 8.415102461870483e-002 4.241839105542433e-002 2.081990439083218e-001 1.005608249795304e-001 1.458964193162946e-001 2.251878010993358e-001 1.621697072280612e-001
5.661344086021483e+000 8.086643983644337e-002 3.752134608561275e-002 2.106265338420358e-001 9.999725970778470e-002 1.497686281593240e-001 2.258105782128438e-001 1.656091799380650e-001
5.669462365591375e+000 7.742564634447524e-002 3.234509139419650e-002 2.124338442852196e-001 9.927233674828410e-002 1.536734993438592e-001 2.266155016828356e-001 1.692439880021932e-001
5.677580645161267e+000 7.385318185063945e-002 2.692564423574795e-002 2.136950821956635e-001 9.845068831672561e-002 1.576418083350277e-001 2.275580671387521e-001 1.730342830812637e-001
5.685698924731160e+000 7.017471601669263e-002 2.133143582824526e-002 2.145430715487154e-001 9.762604921138043e-002 1.617067840576975e-001 2.285681507964125e-001 1.769394467217256e-001
5.693817204301052e+000 6.645652456608292e-002 1.561455161517245e-002 2.150499745289494e-001 9.690963073831151e-002 1.658855939679572e-001 2.296042645628083e-001 1.809249834455677e-001
5.701935483870944e+000 6.275891391146962e-002 9.770818836423834e-003 2.151990161334743e-001 9.637966450608737e-002 1.701650459044643e-001 2.306951752632452e-001 1.849731762628963e-001
5.710053763440836e+000 5.909572530973432e-002 3.755904371255614e-003 2.149294666890701e-001 9.605585141690588e-002 1.745037496136642e-001 2.319275782406845e-001 1.890928987211815e-001
5.718172043010728e+000 5.546484646704510e-002 -2.459093717063654e-003 2.141835461922300e-001 9.592512911039698e-002 1.788476345928431e-001 2.333911519009442e-001 1.933199815849360e-001
5.726290322580621e+000 5.187676094692161e-002 -8.828879215510677e-003 2.129502216982022e-001 9.597419606736124e-002 1.831508583740828e-001 2.351229834567735e-001 1.976969791078735e-001
5.734408602150513e+000 4.833279189966181e-002 -1.519854255296704e-002 2.113018455422547e-001 9.620016684953307e-002 1.873968924750438e-001 2.370771582180922e-001 2.022463652678317e-001
5.742526881720405e+000 4.479608014697097e-002 -2.132416735535347e-002 2.093931067270254e-001 9.660978473890759e-002 1.916067241178792e-001 2.391282701524670e-001 2.069606879634107e-001
5.750645161290297e+000 4.120008254575373e-002 -2.694650256555087e-002 2.074167216966839e-001 9.722580144529251e-002 1.958288216798103e-001 2.410990346859010e-001 2.118063265885120e-001
5.758763440860189e+000 3.748448640217818e-002 -3.186012942725647e-002 2.055545671859918e-001 9.810249886977701e-002 2.001229870292699e-001 2.427914281675246e-001 2.167249383581626e-001
5.766881720430082e+000 3.361954839592523e-002 -3.593444996324813e-002 2.039728107272942e-001 9.932838016965917e-002 2.045484821246969e-001 2.440171689298639e-001 2.216374465830897e-001
5.774999999999974e+000 2.959782681363798e-002 -3.909405205018546e-002 2.028435321585204e-001 1.009995884245301e-001 2.091520742509568e-001 2.446314014124376e-001 2.264644479076248e-001
5.783118279569866e+000 2.541478349591267e-002 -4.129483929197142e-002 2.023175629138962e-001 1.031879414108384e-001 2.139532830604981e-001 2.445683807841656e-001 2.311618999853513e-001
5.791236559139758e+000 2.108403914830234e-002 -4.252024122652975e-002 2.024453332985566e-001 1.059466285384099e-001 2.189356749759631e-001 2.438688659378894e-001 2.357547719405619e-001
5.799354838709650e+000 1.668428298335931e-002 -4.278697571941659e-002 2.031407811932809e-001 1.093479093064727e-001 2.240513970990340e-001 2.426718252812368e-001 2.403417565672523e-001
5.807473118279543e+000 1.237325018560493e-002 -4.214506772070248e-002 2.042301023322285e-001 1.134970494175390e-001 2.292352017370083e-001 2.411593252989103e-001 2.450620954200722e-001
5.815591397849435e+000 8.342611446002042e-003 -4.067963407675990e-002 2.055105770380684e-001 1.185052557161269e-001 2.344151804024977e-001 2.394863206510126e-001 2.500483002882703e-001
5.823709677419327e+000 4.768021043738180e-003 -3.852610134377166e-002 2.067481584111302e-001 1.244649479232909e-001 2.395077101653416e-001 2.377409875376192e-001 2.553874909412317e-001
5.831827956989219e+000 1.806459757212899e-003 -3.588776002279515e-002 2.076314171080831e-001 1.314556699707030e-001 2.444006394972751e-001 2.359583699580466e-001 2.611025692912203e-001
5.839946236559111e+000 -3.750513396603397e-004 -3.301614033947153e-002 2.077711047367219e-001 1.395673606268626e-001 2.489530981035900e-001 2.341567998716991e-001 2.671574718796790e-001
5.848064516129004e+000 -1.603555682205778e-003 -3.012655616713822e-002 2.068489468088644e-001 1.489143502986826e-001 2.530347596863986e-001 2.323325503460753e-001 2.734633931201194e-001
5.856182795698896e+000 -1.793316242025711e-003 -2.727332331046917e-002 2.049379533709579e-001 1.596132047175468e-001 2.565911604470251e-001 2.303859148982696e-001 2.798659626874869e-001
5.864301075268788e+000 -1.067175189903160e-003 -2.427133450009156e-002 2.027628615217466e-001 1.717407388269296e-001 2.596816640642308e-001 2.280512156362246e-001 2.861511183366128e-001
5.872419354838680e+000 2.875559763848204e-004 -2.077544773078421e-002 2.014905745565818e-001 1.853481000859502e-001 2.624295664844834e-001 2.249693814083964e-001 2.921166642319100e-001
5.880537634408572e+000 2.059248349933744e-003 -1.648568913093795e-002 2.020893195023933e-001 2.005438688733139e-001 2.649039446274991e-001 2.209005579322371e-001 2.976581358459887e-001
5.888655913978464e+000 4.288731298298510e-003 -1.127209262101636e-002 2.048774906456396e-001 2.175446881765840e-001 2.670410784877164e-001 2.158729942630112e-001 3.027699684047935e-001
5.896774193548357e+000 7.212864519089144e-003 -5.121283612974592e-003 2.095951057423220e-001 2.366338500603950e-001 2.686651861566713e-001 2.101449746117272e-001 3.074690387540255e-001
5.904892473118249e+000 1.110660104841128e-002 1.971424513781184e-003 2.156836000655883e-001 2.580905198635078e-001 2.695525418323604e-001 2.040641692478842e-001 3.117170247030137e-001
5.913010752688141e+000 1.620427463605950e-002 1.003548331369375e-002 2.224363838348363e-001 2.821695883799508e-001 2.694598101377465e-001 1.979173066059043e-001 3.153705475827215e-001
5.921129032258033e+000 2.271568743877120e-002 1.908243801841292e-002 2.290531939410277e-001 3.091281145047139e-001 2.681017638855459e-001 1.918007790261374e-001 3.181872969733623e-001
5.929247311827925e+000 3.084219557274485e-002 2.905201976337679e-002 2.347817050682534e-001 3.391976880161123e-001 2.651248960364738e-001 1.856325442953053e-001 3.199353340809927e-001
5.937365591397818e+000 4.073125559391610e-002 3.979760271828758e-002 2.391651084152693e-001 3.724285606367592e-001 2.601245324336284e-001 1.794284015124081e-001 3.205453623333465e-001
5.945483870967710e+000 5.241675313126279e-002 5.111388901647418e-002 2.421608739983929e-001 4.085397571910238e-001 2.526996016934537e-001 1.736336667761902e-001 3.201411566343300e-001
5.953602150537602e+000 6.582522783867029e-002 6.277667827568934e-002 2.439537111219386e-001 4.469800968289048e-001 2.425065085566453e-001 1.691425624520241e-001 3.188766409168362e-001
5.961720430107494e+000 8.081447912668063e-002 7.457028301806767e-002 2.446889887463961e-001 4.871253178224822e-001 2.293008207924200e-001 1.670560428459064e-001 3.166947922618593e-001
5.969838709677386e+000 9.714128264454398e-002 8.630235659621532e-002 2.444396966914153e-001 5.283614890300034e-001 2.129899445531109e-001 1.685011294002364e-001 3.131864057727223e-001
5.977956989247279e+000 1.143821971669862e-001 9.780937118081368e-002 2.433312332548017e-001 5.700264886885006e-001 1.937157811517983e-001 1.745161225892771e-001 3.076581997989225e-001
