---- AnyBody Output File ---------------------------------
Study: Main.Studies.MotionOptimization
Operation: Main.Studies.MotionOptimization.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.FileName = "..\Input\Subjects\PS\Overground Gait Trials\PS_rightturn6\PS_rightturn6-output-euler-rightlegtd-2dofstj.txt"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MotionOptimization.t
col1  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion
col7  Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarRotation
----------------------------------------------------------
Main.Studies.MotionOptimization.t Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarEversion Main.Studies.KinematicStudyForParameterIdentification.JointAngleOutputs.OutputFile3.SubTalarRotation
5.166129032258059e+000 -1.684511931189269e-001 -1.051333614517673e-001 -4.923299336814652e-003 1.056178958310906e-001 2.921772779091414e-001 8.365002605797178e-003 -1.128347371888943e-001
5.174247311827951e+000 -1.681800380350857e-001 -1.003671701156743e-001 -4.384291727428560e-003 1.136635446142644e-001 2.949247670079330e-001 8.067936777177141e-004 -1.182694524667036e-001
5.182365591397844e+000 -1.658518541837243e-001 -9.474231659475985e-002 -3.821091451727734e-003 1.233715167201234e-001 2.973003616394537e-001 -6.730709528848124e-003 -1.234048475610701e-001
5.190483870967736e+000 -1.614853808722690e-001 -8.823101076011675e-002 -3.487516077293343e-003 1.348475988081782e-001 2.991281357876425e-001 -1.412191523647764e-002 -1.280226793925783e-001
5.198602150537628e+000 -1.552891415085538e-001 -8.098737433736281e-002 -3.649725748395141e-003 1.480483298222546e-001 3.002143671680215e-001 -2.105004660410827e-002 -1.319736115955514e-001
5.206720430107520e+000 -1.476972657236695e-001 -7.335166552325845e-002 -4.596289312907168e-003 1.627798399656792e-001 3.003645279220624e-001 -2.702049813367694e-002 -1.352309683952475e-001
5.214838709677412e+000 -1.393019685510366e-001 -6.580712222951579e-002 -6.578221016761536e-003 1.787709665750294e-001 2.993615471213066e-001 -3.149426807847122e-002 -1.379272166716936e-001
5.222956989247304e+000 -1.306870433101489e-001 -5.884779257547224e-002 -9.702330184672880e-003 1.957746878397257e-001 2.969629781686552e-001 -3.408210507962470e-002 -1.403561500052120e-001
5.231075268817197e+000 -1.222486929657221e-001 -5.279298851845948e-002 -1.387152570006313e-002 2.136295750938354e-001 2.929385115877284e-001 -3.470409382896841e-002 -1.429040984737013e-001
5.239193548387089e+000 -1.140792534538610e-001 -4.766888483095499e-002 -1.880606809105633e-002 2.322819683203493e-001 2.871090566148193e-001 -3.364725968612640e-002 -1.459354850689267e-001
5.247311827956981e+000 -1.059422639846139e-001 -4.322219585024945e-002 -2.406864702721937e-002 2.518095283012298e-001 2.793660246151855e-001 -3.148499440581152e-002 -1.497422244200293e-001
5.255430107526873e+000 -9.732898436128666e-002 -3.902534404509717e-002 -2.906087051416811e-002 2.724450663247765e-001 2.696786626741080e-001 -2.886136038039220e-002 -1.546071714553630e-001
5.263548387096765e+000 -8.757037292288125e-002 -3.460767750187266e-002 -3.306725779325676e-002 2.945619458813816e-001 2.580699309187081e-001 -2.624930882719646e-002 -1.608824236062099e-001
5.271666666666658e+000 -7.599592591396827e-002 -2.957202935725434e-002 -3.538734049949854e-002 3.185935116327616e-001 2.445538220476774e-001 -2.383046043238236e-002 -1.689507610290992e-001
5.279784946236550e+000 -6.212126988119803e-002 -2.368018463175847e-002 -3.549261287667693e-002 3.449022425206135e-001 2.290927909794598e-001 -2.149384613656700e-002 -1.790806255233566e-001
5.287903225806442e+000 -4.579427864826832e-002 -1.690544843158648e-002 -3.312298697380305e-002 3.736634212478145e-001 2.116241291342915e-001 -1.885613982141268e-002 -1.913073557273017e-001
5.296021505376334e+000 -2.722385071083314e-002 -9.434467982949002e-003 -2.828167121870508e-002 4.048263494358569e-001 1.921147605193535e-001 -1.531836311841751e-002 -2.054098845094565e-001
5.304139784946226e+000 -6.891612859792656e-003 -1.591991375831992e-003 -2.114947705807723e-002 4.381421614545022e-001 1.705536384965980e-001 -1.023091271645574e-002 -2.209286879689569e-001
5.312258064516119e+000 1.458637725149376e-002 6.286879372030541e-003 -1.198657770419780e-002 4.731999259141315e-001 1.468867732194197e-001 -3.096553340715164e-003 -2.371801299715723e-001
5.320376344086011e+000 3.659013654938365e-002 1.396738631107297e-002 -1.074551197542638e-003 5.094576781212910e-001 1.210741585866282e-001 6.370464343183943e-003 -2.533094138098389e-001
5.328494623655903e+000 5.858903033333226e-002 2.136449458953127e-002 1.129746299243922e-002 5.462944646304974e-001 9.340000702323197e-002 1.835462446183194e-002 -2.683941195306501e-001
5.336612903225795e+000 8.017955946344654e-002 2.853304795538647e-002 2.482274469394921e-002 5.830767498212509e-001 6.481646945558910e-002 3.297411516074435e-002 -2.814914678563312e-001
5.344731182795687e+000 1.010832666581075e-001 3.562089339007879e-002 3.917059741554078e-002 6.192110708222253e-001 3.695285980712511e-002 5.005329629262438e-002 -2.915569954258375e-001
5.352849462365580e+000 1.211491024853942e-001 4.280480255446428e-002 5.400344451592409e-002 6.541856040615063e-001 1.179004562307343e-002 6.883353377644674e-002 -2.973570984065637e-001
5.360967741935472e+000 1.403727074051900e-001 5.021706791870662e-002 6.900966660207784e-002 6.876084501711108e-001 -8.700737812726520e-003 8.796960976228019e-002 -2.975775973683925e-001
5.369086021505364e+000 1.589007106194027e-001 5.787866620161530e-002 8.393916646132492e-002 7.192166402458022e-001 -2.286777081990846e-002 1.058801191337045e-001 -2.912030405436521e-001
5.377204301075256e+000 1.769894854252239e-001 6.567982542514450e-002 9.864393380244917e-002 7.488350423723716e-001 -2.977362351018646e-002 1.212740283173980e-001 -2.780461826823475e-001
5.385322580645148e+000 1.949115810716393e-001 7.342630905505621e-002 1.131114109179697e-001 7.763043576010923e-001 -2.960810146449806e-002 1.336239355758143e-001 -2.591363731255032e-001
5.393440860215041e+000 2.128331493812865e-001 8.090674697928013e-002 1.274565401469406e-001 8.014213785352158e-001 -2.377385843991296e-002 1.433027581740613e-001 -2.366635887836002e-001
5.401559139784933e+000 2.307239302981733e-001 8.793388948216263e-002 1.418597966382706e-001 8.239357230290086e-001 -1.442314298324897e-002 1.511936823285194e-001 -2.134291298884694e-001
5.409677419354825e+000 2.483603213351519e-001 9.436752668370474e-002 1.564841668251246e-001 8.436041873541441e-001 -3.664164118754899e-003 1.579806834702751e-001 -1.920790060043336e-001
5.417795698924717e+000 2.654223580343994e-001 1.001372696705767e-001 1.714249431696173e-001 8.602502327447066e-001 7.079664569341541e-003 1.636408667208414e-001 -1.745050191619435e-001
5.425913978494609e+000 2.816266309294483e-001 1.052512869584807e-001 1.867135850409106e-001 8.737905307467390e-001 1.722716948668130e-002 1.674821756853598e-001 -1.616298281667317e-001
5.434032258064502e+000 2.968183504924638e-001 1.097694237282476e-001 2.023413240922272e-001 8.842334967189656e-001 2.676009202787208e-002 1.685984892155251e-001 -1.535197544646179e-001
5.442150537634394e+000 3.109748627916649e-001 1.137544530059413e-001 2.182719174897290e-001 8.916618508131046e-001 3.582592663884966e-002 1.663612932962818e-001 -1.496312520594858e-001
5.450268817204286e+000 3.241497799139071e-001 1.172501504072170e-001 2.344543134473634e-001 8.962074444733067e-001 4.450350147731765e-002 1.607076405465467e-001 -1.490636065958986e-001
5.458387096774178e+000 3.364296636348388e-001 1.202934561923628e-001 2.508284858317030e-001 8.980250537272796e-001 5.275440236275049e-002 1.522174799431781e-001 -1.508001338812994e-001
5.466505376344070e+000 3.479150159710830e-001 1.229084765371038e-001 2.672969131310552e-001 8.972660920061075e-001 6.043228812344996e-002 1.419980055505494e-001 -1.539048648353805e-001
5.474623655913963e+000 3.586848619694498e-001 1.250788507418417e-001 2.836954226659000e-001 8.940601691507948e-001 6.733801338750900e-002 1.313745546955211e-001 -1.575951228821457e-001
5.482741935483855e+000 3.687601123638436e-001 1.267619244194582e-001 2.998281961120733e-001 8.885179108578025e-001 7.338180769393361e-002 1.215091452356278e-001 -1.612007675620364e-001
5.490860215053747e+000 3.781205561152621e-001 1.279488921638330e-001 3.155381656849969e-001 8.807466344285758e-001 7.869055850782768e-002 1.131275317378017e-001 -1.641468694465098e-001
5.498978494623639e+000 3.867594838785554e-001 1.286966161044907e-001 3.307276769402593e-001 8.708537414645805e-001 8.346455714576193e-002 1.064436892151999e-001 -1.660248002158080e-001
5.507096774193531e+000 3.947072916714685e-001 1.291046752174416e-001 3.453396473303875e-001 8.589334680759203e-001 8.778050932465269e-002 1.012465658339165e-001 -1.666385590210335e-001
5.515215053763424e+000 4.020149968304035e-001 1.292922823819913e-001 3.593580804717538e-001 8.450655910865209e-001 9.161343213787301e-002 9.708086084982562e-002 -1.659741630274607e-001
5.523333333333316e+000 4.087488265478360e-001 1.294011019883270e-001 3.728096881103236e-001 8.293430252951817e-001 9.495863385177508e-002 9.348021063308175e-002 -1.641855089784865e-001
5.531451612903208e+000 4.150064715077901e-001 1.295739401917444e-001 3.857435430069687e-001 8.118872378762589e-001 9.783789619512232e-002 9.015283619397678e-002 -1.615820220208004e-001
5.539569892473100e+000 4.209078539441603e-001 1.298848719828309e-001 3.982144706232900e-001 7.928097190692816e-001 1.002354197499360e-001 8.701623359351023e-002 -1.585222599534288e-001
5.547688172042992e+000 4.265302806259926e-001 1.302851392861308e-001 4.102631507276942e-001 7.721542350376248e-001 1.020840883618123e-001 8.413755363101549e-002 -1.552741147540988e-001
5.555806451612884e+000 4.318301777566928e-001 1.306276906056130e-001 4.218822897465581e-001 7.498860161145732e-001 1.032997638727770e-001 8.168181700536813e-002 -1.519726981699052e-001
5.563924731182777e+000 4.366389882181376e-001 1.307472839033748e-001 4.330143989570879e-001 7.259406852919733e-001 1.038195939490084e-001 7.985288036785840e-002 -1.486692155092779e-001
5.572043010752669e+000 4.407635226897276e-001 1.305268063498584e-001 4.435966771420145e-001 7.002862980217894e-001 1.036155753024844e-001 7.881593556816230e-002 -1.453712674216214e-001
5.580161290322561e+000 4.441155142212888e-001 1.299144183082779e-001 4.536003014527025e-001 6.729487901522822e-001 1.026683389790788e-001 7.865688254263858e-002 -1.420274384028364e-001
5.588279569892453e+000 4.467590758454800e-001 1.289081244394443e-001 4.630248357443016e-001 6.439960971392812e-001 1.009401950593123e-001 7.937603668342108e-002 -1.384981713366909e-001
5.596397849462345e+000 4.488413552684607e-001 1.275378548638386e-001 4.718534366680500e-001 6.135155699563779e-001 9.840928859459291e-002 8.088604570947436e-002 -1.345897359142545e-001
5.604516129032238e+000 4.504861577255414e-001 1.258578760742106e-001 4.799975252855868e-001 5.816113556477738e-001 9.514751725312365e-002 8.304445951166226e-002 -1.301496150254493e-001
5.612634408602130e+000 4.517380171441444e-001 1.239432657238047e-001 4.872716424743089e-001 5.484120968784346e-001 9.135327805102295e-002 8.573247868116116e-002 -1.251247275895340e-001
5.620752688172022e+000 4.525582843909261e-001 1.218767457375201e-001 4.934197023634989e-001 5.140693452039722e-001 8.729987818612686e-002 8.892967452559099e-002 -1.195414660836176e-001
5.628870967741914e+000 4.528451226496071e-001 1.197279171307510e-001 4.981719094450598e-001 4.787482309229845e-001 8.324041078811394e-002 9.272905945472243e-002 -1.134628092778414e-001
5.636989247311806e+000 4.524772770491827e-001 1.175505005420960e-001 5.013065953217232e-001 4.426199544342584e-001 7.931493264631653e-002 9.726821773581353e-002 -1.069498788226511e-001
5.645107526881699e+000 4.513728623528410e-001 1.154102764605660e-001 5.027012019469744e-001 4.058575848248531e-001 7.549609864002925e-002 1.026315120808590e-001 -1.000290081521484e-001
5.653225806451591e+000 4.495291617460345e-001 1.134168479807503e-001 5.023420148997665e-001 3.686447369193339e-001 7.161886179926695e-002 1.088344384788737e-001 -9.269631114055921e-002
5.661344086021483e+000 4.470181388179835e-001 1.117193560592484e-001 5.002801397296688e-001 3.312059943639315e-001 6.749598275768035e-002 1.159042337677010e-001 -8.496307619492494e-002
5.669462365591375e+000 4.439414551501424e-001 1.104560287954928e-001 4.965720318021746e-001 2.938292194249957e-001 6.303400561461381e-002 1.239230290832397e-001 -7.688763828183243e-002
5.677580645161267e+000 4.403876985386072e-001 1.097041184444334e-001 4.912512366520050e-001 2.568418217735974e-001 5.826562827876902e-002 1.329351484584870e-001 -6.855210632635478e-002
5.685698924731160e+000 4.364340867002801e-001 1.094957541762647e-001 4.843527622958028e-001 2.205602637910192e-001 5.332165889123194e-002 1.428165013070193e-001 -6.000790828162694e-002
5.693817204301052e+000 4.321628632664153e-001 1.098872497640970e-001 4.759801759699502e-001 1.852668929489996e-001 4.840837478546060e-002 1.532619834901298e-001 -5.125305471725983e-002
5.701935483870944e+000 4.276556716282421e-001 1.109955011067851e-001 4.663761159232369e-001 1.512408058887793e-001 4.378675100735401e-002 1.638981650848691e-001 -4.227328231011551e-002
5.710053763440836e+000 4.230082186016306e-001 1.129597609654600e-001 4.559612395635622e-001 1.188270864228977e-001 3.971529177763002e-002 1.744528620353566e-001 -3.312732319005596e-002
5.718172043010728e+000 4.183801482406318e-001 1.158612689121390e-001 4.453127218398992e-001 8.849650922723970e-002 3.634863962779959e-002 1.849324292348433e-001 -2.402260342778462e-002
5.726290322580621e+000 4.140024379212866e-001 1.196408601740537e-001 4.350474287612893e-001 6.083737344571189e-002 3.361263116491614e-002 1.957001329647454e-001 -1.530954788676864e-002
5.734408602150513e+000 4.101037871681681e-001 1.240541266221307e-001 4.256373750278557e-001 3.646877693161654e-002 3.112662995989698e-002 2.073695276618582e-001 -7.392080415927760e-003
5.742526881720405e+000 4.068284738251720e-001 1.287100997610204e-001 4.172809082382776e-001 1.594248929499700e-002 2.827466051742393e-002 2.205581214919974e-001 -6.563805075909812e-004
5.750645161290297e+000 4.042176553120479e-001 1.331850569575621e-001 4.099289433156058e-001 -3.125844641132471e-004 2.442163505378990e-002 2.355215347514520e-001 4.547166202847564e-003
5.758763440860189e+000 4.022431046211777e-001 1.371360241607282e-001 4.034288562607722e-001 -1.202178311775469e-002 1.915569440219657e-002 2.517207869682304e-001 7.930066765173605e-003
5.766881720430082e+000 4.008510311329339e-001 1.403457245665023e-001 3.976662730537671e-001 -1.910182989527798e-002 1.246470800006788e-002 2.677019196274649e-001 9.262162303067312e-003
5.774999999999974e+000 3.999797712917299e-001 1.426948385857012e-001 3.926202906844726e-001 -2.172392661636780e-002 4.776665898684004e-003 2.816207268817711e-001 8.303209424315394e-003
5.783118279569866e+000 3.995405951932680e-001 1.441178827986025e-001 3.883202982118624e-001 -2.038765921725814e-002 -3.217497915987217e-003 2.920740834360910e-001 4.837812141538000e-003
5.791236559139758e+000 3.994046802207831e-001 1.445884559952730e-001 3.847388946552239e-001 -1.592249374394052e-002 -1.090965845122485e-002 2.986081545690313e-001 -1.076574116415152e-003
5.799354838709650e+000 3.994327691045361e-001 1.441180539091886e-001 3.816865034346179e-001 -9.355478187850781e-003 -1.806307698678440e-002 3.017288285539133e-001 -8.863672673693923e-003
5.807473118279543e+000 3.995162474791993e-001 1.427503740606615e-001 3.787963225989909e-001 -1.686971355321126e-003 -2.482971111378540e-002 3.025792907494189e-001 -1.744870733032422e-002
5.815591397849435e+000 3.995841248437440e-001 1.405768280224302e-001 3.756588910234541e-001 6.318072652764468e-003 -3.149720226447798e-002 3.024146637132731e-001 -2.553845189460380e-002
5.823709677419327e+000 3.995847168459463e-001 1.377882754505055e-001 3.720586209000505e-001 1.423422448866890e-002 -3.816538038710393e-002 3.020776517757211e-001 -3.199671300288909e-002
5.831827956989219e+000 3.994846049424977e-001 1.347204716589081e-001 3.681573373546326e-001 2.195889285212547e-002 -4.458914390001216e-002 3.017592592689041e-001 -3.617736363730351e-002
5.839946236559111e+000 3.992940531600571e-001 1.318166104360081e-001 3.644940842767697e-001 2.961499622769487e-002 -5.030053122539194e-002 3.011336260136778e-001 -3.809469123680520e-002
5.848064516129004e+000 3.990724394832203e-001 1.294675318582990e-001 3.617810444536884e-001 3.740949794353247e-002 -5.490188102111451e-002 2.997192285451618e-001 -3.835368873263545e-002
5.856182795698896e+000 3.988584989749564e-001 1.277717815755510e-001 3.605206880614496e-001 4.546353431718962e-002 -5.829033340447463e-002 2.972428833548940e-001 -3.786453655041910e-002
5.864301075268788e+000 3.985605643217265e-001 1.263714256606050e-001 3.606150571470080e-001 5.367624061800886e-002 -6.066585634310070e-002 2.938242729926506e-001 -3.746745283331343e-002
5.872419354838680e+000 3.979426355423666e-001 1.245829614327296e-001 3.613524004098062e-001 6.172595907079086e-002 -6.236389233063781e-002 2.899102126230940e-001 -3.767277487169496e-002
5.880537634408572e+000 3.967434390920788e-001 1.217868165882443e-001 3.618724889331453e-001 6.920759874196367e-002 -6.366224073054566e-002 2.860540405081496e-001 -3.864504898714483e-002
5.888655913978464e+000 3.947875913892294e-001 1.177067817259432e-001 3.616563374701904e-001 7.578137713059351e-002 -6.468112764078236e-002 2.827307784650525e-001 -4.034097708525475e-002
5.896774193548357e+000 3.919913809248571e-001 1.123733276388526e-001 3.606416411826728e-001 8.124707436625746e-002 -6.538638277457796e-002 2.802660734803821e-001 -4.263020630687198e-002
5.904892473118249e+000 3.883251332445913e-001 1.059500317693982e-001 3.590550266669449e-001 8.555728760572214e-002 -6.563670618268681e-002 2.788076237710898e-001 -4.534484332797439e-002
5.913010752688141e+000 3.838150630131753e-001 9.863435546812571e-002 3.572185258640411e-001 8.880244132222270e-002 -6.523089151499767e-002 2.783053803043376e-001 -4.830932308779112e-002
5.921129032258033e+000 3.785704067277167e-001 9.064431321780164e-002 3.554254654427823e-001 9.117101952392273e-002 -6.396376155971148e-002 2.785466539603524e-001 -5.138317979870788e-002
5.929247311827925e+000 3.727714875785615e-001 8.220549187635129e-002 3.538578636341073e-001 9.288320572443280e-002 -6.170621868651316e-002 2.792458824799607e-001 -5.447820140888604e-002
5.937365591397818e+000 3.666087221529746e-001 7.349698953119965e-002 3.525110891885989e-001 9.411927564194088e-002 -5.846694664661267e-002 2.801414074535227e-001 -5.751621719209465e-002
5.945483870967710e+000 3.602287518767202e-001 6.460264281800776e-002 3.511474594112911e-001 9.497517349593521e-002 -5.438413425137578e-002 2.810775633199811e-001 -6.036728175907391e-002
5.953602150537602e+000 3.537282599883066e-001 5.552761118700178e-002 3.493521795901315e-001 9.546351390713807e-002 -4.966925630241467e-002 2.820410135913073e-001 -6.283098980011981e-002
5.961720430107494e+000 3.471667076000756e-001 4.625850097712791e-002 3.466994483645414e-001 9.555726974248684e-002 -4.455026463239926e-002 2.831066334241313e-001 -6.467931392255855e-002
5.969838709677386e+000 3.405502172180552e-001 3.680294425604358e-002 3.429147877555384e-001 9.525410442212505e-002 -3.921172189479943e-002 2.843334435611991e-001 -6.573469444416857e-002
